query_id,parent_set_match,candidate_top10_match,selected_subset_match,k_match,component_matches,components_expected,full_match
Q6K00357,True,True,True,True,7,7,True
Q6K00358,True,True,True,True,7,7,True
Q6K00359,True,True,True,True,7,7,True
Q6K00360,True,True,True,True,7,7,True
Q6K00361,True,True,True,True,7,7,True
Q6K00362,True,True,True,True,7,7,True
Q6K00363,True,True,True,True,7,7,True
Q6K00364,True,True,True,True,7,7,True
Q6K00365,True,True,True,True,7,7,True
Q6K00366,True,True,True,True,7,7,True
Q6K00367,True,True,True,True,7,7,True
Q6K00368,True,True,True,True,7,7,True
Q6K00369,True,True,True,True,7,7,True
Q6K00370,True,True,True,True,7,7,True
Q6K00371,True,True,True,True,7,7,True
Q6K00372,True,True,True,True,7,7,True
Q6K00373,True,True,True,True,7,7,True
Q6K00374,True,True,True,True,7,7,True
Q6K00375,True,True,True,True,7,7,True
Q6K00376,True,True,True,True,7,7,True
Q6K00377,True,True,True,True,7,7,True
Q6K00378,True,True,True,True,7,7,True
Q6K00379,True,True,True,True,7,7,True
Q6K00380,True,True,True,True,7,7,True
Q6K00381,True,True,True,True,7,7,True
Q6K00382,True,True,True,True,7,7,True
Q6K00383,True,True,True,True,7,7,True
Q6K00384,True,True,True,True,7,7,True
Q6K00385,True,True,True,True,7,7,True
Q6K00386,True,True,True,True,7,7,True
Q6K00387,True,True,True,True,7,7,True
Q6K00388,True,True,True,True,7,7,True
Q6K00389,True,True,True,True,7,7,True
Q6K00390,True,True,True,True,7,7,True
Q6K00391,True,True,True,True,7,7,True
Q6K00392,True,True,True,True,7,7,True
Q6K00393,True,True,True,True,7,7,True
Q6K00394,True,True,True,True,7,7,True
Q6K00395,True,True,True,True,7,7,True
Q6K00396,True,True,True,True,7,7,True
Q6K00397,True,True,True,True,7,7,True
Q6K00398,True,True,True,True,7,7,True
Q6K00399,True,True,True,True,7,7,True
Q6K00400,True,True,True,True,7,7,True
Q6K00401,True,True,True,True,7,7,True
Q6K00402,True,True,True,True,7,7,True
Q6K00403,True,True,True,True,7,7,True
Q6K00404,True,True,True,True,7,7,True
Q6K00405,True,True,True,True,7,7,True
Q6K00406,True,True,True,True,7,7,True
Q6K00407,True,True,True,True,7,7,True
Q6K00408,True,True,True,True,7,7,True
Q6K00409,True,True,True,True,7,7,True
Q6K00410,True,True,True,True,7,7,True
Q6K00411,True,True,True,True,7,7,True
Q6K00412,True,True,True,True,7,7,True
Q6K00413,True,True,True,True,7,7,True
Q6K00414,True,True,True,True,7,7,True
Q6K00415,True,True,True,True,7,7,True
Q6K00416,True,True,True,True,7,7,True
Q6K00417,True,True,True,True,7,7,True
Q6K00418,True,True,True,True,7,7,True
Q6K00419,True,True,True,True,7,7,True
Q6K00420,True,True,True,True,7,7,True
Q6K00421,True,True,True,True,7,7,True
Q6K00422,True,True,True,True,7,7,True
Q6K00423,True,True,True,True,7,7,True
Q6K00424,True,True,True,True,7,7,True
Q6K00425,True,True,True,True,7,7,True
Q6K00426,True,True,True,True,7,7,True
Q6K00427,True,True,True,True,7,7,True
Q6K00428,True,True,True,True,7,7,True
Q6K00429,True,True,True,True,7,7,True
Q6K00430,True,True,True,True,7,7,True
Q6K00431,True,True,True,True,7,7,True
Q6K00432,True,True,True,True,7,7,True
Q6K00433,True,True,True,True,7,7,True
Q6K00434,True,True,True,True,7,7,True
Q6K00435,True,True,True,True,7,7,True
Q6K00436,True,True,True,True,7,7,True
Q6K00437,True,True,True,True,7,7,True
Q6K00438,True,True,True,True,7,7,True
Q6K00439,True,True,True,True,7,7,True
Q6K00440,True,True,True,True,7,7,True
Q6K00441,True,True,True,True,7,7,True
Q6K00442,True,True,True,True,7,7,True
Q6K00443,True,True,True,True,7,7,True
Q6K00444,True,True,True,True,7,7,True
Q6K00445,True,True,True,True,7,7,True
Q6K00446,True,True,True,True,7,7,True
Q6K00447,True,True,True,True,7,7,True
Q6K00448,True,True,True,True,7,7,True
Q6K00449,True,True,True,True,7,7,True
Q6K00450,True,True,True,True,7,7,True
Q6K00451,True,True,True,True,7,7,True
Q6K00452,True,True,True,True,7,7,True
Q6K00453,True,True,True,True,7,7,True
Q6K00454,True,True,True,True,7,7,True
Q6K00455,True,True,True,True,7,7,True
Q6K00456,True,True,True,True,7,7,True
Q6K00457,True,True,True,True,7,7,True
Q6K00458,True,True,True,True,7,7,True
Q6K00459,True,True,True,True,7,7,True
Q6K00460,True,True,True,True,7,7,True
Q6K00461,True,True,True,True,7,7,True
Q6K00462,True,True,True,True,7,7,True
Q6K00463,True,True,True,True,7,7,True
Q6K00464,True,True,True,True,7,7,True
Q6K00465,True,True,True,True,7,7,True
Q6K00466,True,True,True,True,7,7,True
Q6K00467,True,True,True,True,7,7,True
Q6K00468,True,True,True,True,7,7,True
Q6K00469,True,True,True,True,7,7,True
Q6K00470,True,True,True,True,7,7,True
Q6K00471,True,True,True,True,7,7,True
Q6K00472,True,True,True,True,7,7,True
Q6K00473,True,True,True,True,7,7,True
Q6K00474,True,True,True,True,7,7,True
Q6K00475,True,True,True,True,7,7,True
Q6K00476,True,True,True,True,7,7,True
Q6K00477,True,True,True,True,7,7,True
Q6K00478,True,True,True,True,7,7,True
Q6K00479,True,True,True,True,7,7,True
Q6K00480,True,True,True,True,7,7,True
Q6K00481,True,True,True,True,7,7,True
Q6K00482,True,True,True,True,7,7,True
Q6K00483,True,True,True,True,7,7,True
Q6K00484,True,True,True,True,7,7,True
Q6K00485,True,True,True,True,7,7,True
Q6K00486,True,True,True,True,7,7,True
Q6K00487,True,True,True,True,7,7,True
Q6K00488,True,True,True,True,7,7,True
Q6K00489,True,True,True,True,7,7,True
Q6K00490,True,True,True,True,7,7,True
Q6K00491,True,True,True,True,7,7,True
Q6K00492,True,True,True,True,7,7,True
Q6K00493,True,True,True,True,7,7,True
Q6K00494,True,True,True,True,7,7,True
Q6K00495,True,True,True,True,7,7,True
Q6K00496,True,True,True,True,7,7,True
Q6K00497,True,True,True,True,7,7,True
Q6K00498,True,True,True,True,7,7,True
Q6K00499,True,True,True,True,7,7,True
Q6K00500,True,True,True,True,7,7,True
Q6K00501,True,True,True,True,7,7,True
Q6K00502,True,True,True,True,7,7,True
Q6K00503,True,True,True,True,7,7,True
Q6K00504,True,True,True,True,7,7,True
Q6K00505,True,True,True,True,7,7,True
Q6K00506,True,True,True,True,7,7,True
Q6K00507,True,True,True,True,7,7,True
Q6K00508,True,True,True,True,7,7,True
Q6K00509,True,True,True,True,7,7,True
Q6K00510,True,True,True,True,7,7,True
Q6K00511,True,True,True,True,7,7,True
Q6K00512,True,True,True,True,7,7,True
Q6K00513,True,True,True,True,7,7,True
Q6K00514,True,True,True,True,7,7,True
Q6K00515,True,True,True,True,7,7,True
Q6K00516,True,True,True,True,7,7,True
Q6K00517,True,True,True,True,7,7,True
Q6K00518,True,True,True,True,7,7,True
Q6K00519,True,True,True,True,7,7,True
Q6K00520,True,True,True,True,7,7,True
Q6K00521,True,True,True,True,7,7,True
Q6K00522,True,True,True,True,7,7,True
Q6K00523,True,True,True,True,7,7,True
Q6K00524,True,True,True,True,7,7,True
Q6K00525,True,True,True,True,7,7,True
Q6K00526,True,True,True,True,7,7,True
Q6K00527,True,True,True,True,7,7,True
Q6K00528,True,True,True,True,7,7,True
Q6K00529,True,True,True,True,7,7,True
Q6K00530,True,True,True,True,7,7,True
Q6K00531,True,True,True,True,7,7,True
Q6K00532,True,True,True,True,7,7,True
Q6K00533,True,True,True,True,7,7,True
Q6K00534,True,True,True,True,7,7,True
Q6K00535,True,True,True,True,7,7,True
Q6K00536,True,True,True,True,7,7,True
Q6K00537,True,True,True,True,7,7,True
Q6K00538,True,True,True,True,7,7,True
Q6K00539,True,True,True,True,7,7,True
Q6K00540,True,True,True,True,7,7,True
