query_id,scenario,k_true,phase7h_k_pred,server_k_pred,parent_set_match,k_match,selected_subset_match,candidate_pool_match,component_matches,component_expected,all_components_match,full_query_match,client_roundtrip_ms,server_internal_total_ms
Q6K00231,TEST_KNOWN_K1,1,3,3,True,True,True,True,7,7,True,True,23.46889999898849,0.9659
Q6K00232,TEST_KNOWN_K1,1,2,2,True,True,True,True,7,7,True,True,12.318000000959728,0.9782
Q6K00233,TEST_KNOWN_K1,1,2,2,True,True,True,True,7,7,True,True,11.806899998191511,0.8626
Q6K00234,TEST_KNOWN_K1,1,2,2,True,True,True,True,7,7,True,True,12.554000000818633,1.02
Q6K00235,TEST_KNOWN_K1,1,2,2,True,True,True,True,7,7,True,True,22.86370000001625,0.8913
Q6K00236,TEST_KNOWN_K1,1,2,2,True,True,True,True,7,7,True,True,11.849999998958083,0.881
Q6K00237,TEST_KNOWN_K1,1,2,2,True,True,True,True,7,7,True,True,33.56490000078338,0.9279
Q6K00238,TEST_KNOWN_K1,1,3,3,True,True,True,True,7,7,True,True,29.269500002556015,1.0285
Q6K00239,TEST_KNOWN_K1,1,2,2,True,True,True,True,7,7,True,True,30.419200000324054,0.8978
Q6K00240,TEST_KNOWN_K1,1,2,2,True,True,True,True,7,7,True,True,12.735899999825051,1.0161
Q6K00241,TEST_KNOWN_K2,2,3,3,True,True,True,True,7,7,True,True,11.471199999505188,0.8756
Q6K00242,TEST_KNOWN_K2,2,2,2,True,True,True,True,7,7,True,True,12.081400000170106,1.0677
Q6K00243,TEST_KNOWN_K2,2,3,3,True,True,True,True,7,7,True,True,12.582100000145147,0.8935
Q6K00244,TEST_KNOWN_K2,2,3,3,True,True,True,True,7,7,True,True,23.940200000652112,0.9765
Q6K00245,TEST_KNOWN_K2,2,2,2,True,True,True,True,7,7,True,True,29.02149999863468,0.9293
Q6K00246,TEST_KNOWN_K2,2,3,3,True,True,True,True,7,7,True,True,30.9573000013188,0.9304
Q6K00247,TEST_KNOWN_K2,2,2,2,True,True,True,True,7,7,True,True,12.473300001147436,1.0039
Q6K00248,TEST_KNOWN_K2,2,3,3,True,True,True,True,7,7,True,True,13.920199999120086,0.9422
Q6K00249,TEST_KNOWN_K2,2,2,2,True,True,True,True,7,7,True,True,13.109400002576876,0.9651
Q6K00250,TEST_KNOWN_K2,2,3,3,True,True,True,True,7,7,True,True,11.795700000220677,0.9027
Q6K00251,TEST_KNOWN_K2,2,3,3,True,True,True,True,7,7,True,True,11.91599999947357,1.2632
Q6K00252,TEST_KNOWN_K2,2,2,2,True,True,True,True,7,7,True,True,25.36070000132895,1.0187
Q6K00253,TEST_KNOWN_K2,2,3,3,True,True,True,True,7,7,True,True,32.58339999956661,1.0723
Q6K00254,TEST_KNOWN_K2,2,3,3,True,True,True,True,7,7,True,True,11.31119999990915,1.0218
Q6K00255,TEST_KNOWN_K2,2,2,2,True,True,True,True,7,7,True,True,30.355899998539826,0.8859
Q6K00256,TEST_KNOWN_K2,2,3,3,True,True,True,True,7,7,True,True,31.106799997360213,1.0035
Q6K00257,TEST_KNOWN_K2,2,3,3,True,True,True,True,7,7,True,True,11.641299999610055,0.8962
Q6K00258,TEST_KNOWN_K2,2,3,3,True,True,True,True,7,7,True,True,33.20199999870965,0.9401
Q6K00259,TEST_KNOWN_K2,2,2,2,True,True,True,True,7,7,True,True,12.287900000956142,0.9638
Q6K00260,TEST_KNOWN_K2,2,3,3,True,True,True,True,7,7,True,True,11.614099999860628,0.8891
Q6K00261,TEST_KNOWN_K2,2,2,2,True,True,True,True,7,7,True,True,44.97370000171941,1.3147
Q6K00262,TEST_KNOWN_K2,2,3,3,True,True,True,True,7,7,True,True,11.625999999523629,1.001
Q6K00263,TEST_KNOWN_K2,2,3,3,True,True,True,True,7,7,True,True,25.429900000744965,0.952
Q6K00264,TEST_KNOWN_K2,2,2,2,True,True,True,True,7,7,True,True,11.493400001199916,0.9501
Q6K00265,TEST_KNOWN_K2,2,2,2,True,True,True,True,7,7,True,True,33.334200001263525,0.9241
Q6K00266,TEST_KNOWN_K2,2,3,3,True,True,True,True,7,7,True,True,30.196800002158852,0.8853
Q6K00267,TEST_KNOWN_K2,2,2,2,True,True,True,True,7,7,True,True,29.274299999087816,0.9541
Q6K00268,TEST_KNOWN_K2,2,2,2,True,True,True,True,7,7,True,True,30.552000000170665,0.9898
Q6K00269,TEST_KNOWN_K2,2,2,2,True,True,True,True,7,7,True,True,13.521000000764616,1.0332
Q6K00270,TEST_KNOWN_K2,2,3,3,True,True,True,True,7,7,True,True,12.162300001364201,1.0266
Q6K00271,TEST_KNOWN_K2,2,3,3,True,True,True,True,7,7,True,True,34.86880000127712,0.9349
Q6K00272,TEST_KNOWN_K2,2,2,2,True,True,True,True,7,7,True,True,29.743799997959286,1.0196
Q6K00273,TEST_KNOWN_K2,2,3,3,True,True,True,True,7,7,True,True,11.54550000137533,0.9292
Q6K00274,TEST_KNOWN_K2,2,3,3,True,True,True,True,7,7,True,True,11.457399999926565,0.8972
Q6K00275,TEST_KNOWN_K2,2,3,3,True,True,True,True,7,7,True,True,11.239899999054614,1.0242
Q6K00276,TEST_KNOWN_K2,2,2,2,True,True,True,True,7,7,True,True,25.069700001040474,0.929
Q6K00277,TEST_KNOWN_K2,2,2,2,True,True,True,True,7,7,True,True,11.701200000970857,0.9739
Q6K00278,TEST_KNOWN_K2,2,3,3,True,True,True,True,7,7,True,True,11.222100001759827,0.8817
Q6K00279,TEST_KNOWN_K2,2,2,2,True,True,True,True,7,7,True,True,22.180400002980605,0.8969
Q6K00280,TEST_KNOWN_K2,2,3,3,True,True,True,True,7,7,True,True,11.809899999207119,0.95
Q6K00281,TEST_KNOWN_K2,2,3,3,True,True,True,True,7,7,True,True,11.58930000019609,0.9034
Q6K00282,TEST_KNOWN_K2,2,3,3,True,True,True,True,7,7,True,True,39.57530000116094,0.9625
Q6K00283,TEST_KNOWN_K2,2,3,3,True,True,True,True,7,7,True,True,27.916500002902467,0.905
Q6K00284,TEST_KNOWN_K2,2,3,3,True,True,True,True,7,7,True,True,30.757199998333817,0.9169
Q6K00285,TEST_KNOWN_K2,2,2,2,True,True,True,True,7,7,True,True,11.56309999714722,0.9242
Q6K00286,TEST_KNOWN_K2,2,3,3,True,True,True,True,7,7,True,True,12.290400001802482,0.9484
Q6K00287,TEST_KNOWN_K2,2,3,3,True,True,True,True,7,7,True,True,36.208900000929134,0.9802
Q6K00288,TEST_KNOWN_K2,2,2,2,True,True,True,True,7,7,True,True,11.167299999215174,0.9959
Q6K00289,TEST_KNOWN_K2,2,2,2,True,True,True,True,7,7,True,True,33.32799999770941,0.9641
Q6K00290,TEST_KNOWN_K2,2,3,3,True,True,True,True,7,7,True,True,11.646599999949103,0.8888
Q6K00291,TEST_KNOWN_K2,2,3,3,True,True,True,True,7,7,True,True,37.26889999961713,0.9257
Q6K00292,TEST_KNOWN_K2,2,2,2,True,True,True,True,7,7,True,True,11.101700001745485,0.8958
Q6K00293,TEST_KNOWN_K2,2,2,2,True,True,True,True,7,7,True,True,11.459400000603637,0.9698
Q6K00294,TEST_KNOWN_K2,2,3,3,True,True,True,True,7,7,True,True,11.437600001954706,0.9741
Q6K00295,TEST_KNOWN_K2,2,3,3,True,True,True,True,7,7,True,True,11.046200001146644,0.9703
Q6K00296,TEST_KNOWN_K2,2,3,3,True,True,True,True,7,7,True,True,27.63279999999213,0.845
Q6K00297,TEST_KNOWN_K2,2,2,2,True,True,True,True,7,7,True,True,30.22719999717083,0.8217
Q6K00298,TEST_KNOWN_K2,2,3,3,True,True,True,True,7,7,True,True,11.52130000264151,0.9678
Q6K00299,TEST_KNOWN_K2,2,3,3,True,True,True,True,7,7,True,True,11.542300002474803,0.8806
Q6K00300,TEST_KNOWN_K2,2,3,3,True,True,True,True,7,7,True,True,21.357600002374966,0.8944
Q6K00301,TEST_KNOWN_K3,3,2,2,True,True,True,True,7,7,True,True,11.126800000056392,0.9582
Q6K00302,TEST_KNOWN_K3,3,4,4,True,True,True,True,7,7,True,True,10.962000000290573,0.9316
Q6K00303,TEST_KNOWN_K3,3,4,4,True,True,True,True,7,7,True,True,23.7643999971624,0.9689
Q6K00304,TEST_KNOWN_K3,3,4,4,True,True,True,True,7,7,True,True,30.72959999917657,0.913
Q6K00305,TEST_KNOWN_K3,3,3,3,True,True,True,True,7,7,True,True,30.075700000452343,0.9888
Q6K00306,TEST_KNOWN_K3,3,4,4,True,True,True,True,7,7,True,True,11.94259999829228,0.889
Q6K00307,TEST_KNOWN_K3,3,4,4,True,True,True,True,7,7,True,True,11.175199997524032,1.0303
Q6K00308,TEST_KNOWN_K3,3,2,2,True,True,True,True,7,7,True,True,11.860599999636179,1.6923
Q6K00309,TEST_KNOWN_K3,3,3,3,True,True,True,True,7,7,True,True,24.294799997733207,1.0432
Q6K00310,TEST_KNOWN_K3,3,3,3,True,True,True,True,7,7,True,True,38.41459999966901,1.3887
Q6K00311,TEST_KNOWN_K3,3,4,4,True,True,True,True,7,7,True,True,24.82589999999618,0.8894
Q6K00312,TEST_KNOWN_K3,3,4,4,True,True,True,True,7,7,True,True,30.83100000003469,0.998
Q6K00313,TEST_KNOWN_K3,3,4,4,True,True,True,True,7,7,True,True,11.272400002781069,0.9824
Q6K00314,TEST_KNOWN_K3,3,4,4,True,True,True,True,7,7,True,True,10.927499999525025,0.9367
Q6K00315,TEST_KNOWN_K3,3,3,3,True,True,True,True,7,7,True,True,37.76309999739169,0.8874
Q6K00316,TEST_KNOWN_K3,3,4,4,True,True,True,True,7,7,True,True,11.842600000818493,0.9119
Q6K00317,TEST_KNOWN_K3,3,4,4,True,True,True,True,7,7,True,True,11.334899998473702,0.8966
Q6K00318,TEST_KNOWN_K3,3,3,3,True,True,True,True,7,7,True,True,35.95810000115307,0.9138
Q6K00319,TEST_KNOWN_K3,3,4,4,True,True,True,True,7,7,True,True,11.447200002294267,0.9259
Q6K00320,TEST_KNOWN_K3,3,3,3,True,True,True,True,7,7,True,True,11.132499999803258,0.8726
Q6K00321,TEST_KNOWN_K3,3,4,4,True,True,True,True,7,7,True,True,21.624299999530194,0.9836
Q6K00322,TEST_KNOWN_K3,3,4,4,True,True,True,True,7,7,True,True,31.306699998822296,0.9226
Q6K00323,TEST_KNOWN_K3,3,4,4,True,True,True,True,7,7,True,True,24.369799997657537,1.0528
Q6K00324,TEST_KNOWN_K3,3,4,4,True,True,True,True,7,7,True,True,12.91510000010021,1.1315
Q6K00325,TEST_KNOWN_K3,3,4,4,True,True,True,True,7,7,True,True,27.37360000173794,0.9356
Q6K00326,TEST_KNOWN_K3,3,4,4,True,True,True,True,7,7,True,True,29.323400001885602,0.8583
Q6K00327,TEST_KNOWN_K3,3,4,4,True,True,True,True,7,7,True,True,31.278599999495782,1.1174
Q6K00328,TEST_KNOWN_K3,3,3,3,True,True,True,True,7,7,True,True,11.132600000564707,0.9666
Q6K00329,TEST_KNOWN_K3,3,3,3,True,True,True,True,7,7,True,True,11.24310000159312,0.9523
Q6K00330,TEST_KNOWN_K3,3,3,3,True,True,True,True,7,7,True,True,32.51300000192714,0.8963
Q6K00331,TEST_KNOWN_K3,3,2,2,True,True,True,True,7,7,True,True,11.287400000583148,0.8918
Q6K00332,TEST_KNOWN_K3,3,3,3,True,True,True,True,7,7,True,True,11.491299999761395,0.8961
Q6K00333,TEST_KNOWN_K3,3,4,4,True,True,True,True,7,7,True,True,11.556299999938346,0.9545
Q6K00334,TEST_KNOWN_K3,3,3,3,True,True,True,True,7,7,True,True,25.423200000659563,0.982
Q6K00335,TEST_KNOWN_K3,3,4,4,True,True,True,True,7,7,True,True,31.25259999796981,0.9768
Q6K00336,TEST_KNOWN_K3,3,3,3,True,True,True,True,7,7,True,True,30.469799999991665,0.9506
Q6K00337,TEST_KNOWN_K3,3,3,3,True,True,True,True,7,7,True,True,28.53069999764557,0.9564
Q6K00338,TEST_KNOWN_K3,3,4,4,True,True,True,True,7,7,True,True,32.12809999968158,1.1039
Q6K00339,TEST_KNOWN_K3,3,4,4,True,True,True,True,7,7,True,True,11.475399998744251,0.965
Q6K00340,TEST_KNOWN_K3,3,4,4,True,True,True,True,7,7,True,True,36.83210000235704,0.9093
Q6K00341,TEST_KNOWN_K3,3,3,3,True,True,True,True,7,7,True,True,11.476400002720766,0.8817
Q6K00342,TEST_KNOWN_K3,3,3,3,True,True,True,True,7,7,True,True,31.233599998813588,0.9886
Q6K00343,TEST_KNOWN_K3,3,4,4,True,True,True,True,7,7,True,True,31.66380000038771,0.9465
Q6K00344,TEST_KNOWN_K3,3,4,4,True,True,True,True,7,7,True,True,11.511500000779051,0.8951
Q6K00345,TEST_KNOWN_K3,3,4,4,True,True,True,True,7,7,True,True,32.22520000053919,0.8883
Q6K00346,TEST_KNOWN_K3,3,4,4,True,True,True,True,7,7,True,True,30.883200000971556,0.9631
Q6K00347,TEST_KNOWN_K3,3,4,4,True,True,True,True,7,7,True,True,30.05049999774201,0.9586
Q6K00348,TEST_KNOWN_K3,3,3,3,True,True,True,True,7,7,True,True,12.553100001241546,1.1159
Q6K00349,TEST_KNOWN_K3,3,4,4,True,True,True,True,7,7,True,True,14.759999998204876,0.9814
Q6K00350,TEST_KNOWN_K3,3,3,3,True,True,True,True,7,7,True,True,11.988099999143742,0.9243
Q6K00351,TEST_KNOWN_K3,3,4,4,True,True,True,True,7,7,True,True,36.45700000197394,0.9356
Q6K00352,TEST_KNOWN_K3,3,4,4,True,True,True,True,7,7,True,True,29.436799999530194,1.0458
Q6K00353,TEST_KNOWN_K3,3,3,3,True,True,True,True,7,7,True,True,11.225299997022375,0.9199
Q6K00354,TEST_KNOWN_K3,3,3,3,True,True,True,True,7,7,True,True,34.725499997875886,0.9169
Q6K00355,TEST_KNOWN_K3,3,4,4,True,True,True,True,7,7,True,True,29.737299999396782,0.9957
Q6K00356,TEST_KNOWN_K3,3,4,4,True,True,True,True,7,7,True,True,11.611400001129368,0.9252
Q6K00357,TEST_KNOWN_K3,3,3,3,True,True,True,True,7,7,True,True,35.21889999683481,0.9373
Q6K00358,TEST_KNOWN_K3,3,4,4,True,True,True,True,7,7,True,True,28.851600000052713,0.9602
Q6K00359,TEST_KNOWN_K3,3,4,4,True,True,True,True,7,7,True,True,30.4415999999037,0.9569
Q6K00360,TEST_KNOWN_K3,3,4,4,True,True,True,True,7,7,True,True,12.089599997125333,1.0281
Q6K00361,TEST_MIXED_1K1U,2,2,2,True,True,True,True,7,7,True,True,11.675699999614153,0.8911
Q6K00362,TEST_MIXED_1K1U,2,2,2,True,True,True,True,7,7,True,True,37.97299999860115,0.8482
Q6K00363,TEST_MIXED_1K1U,2,3,3,True,True,True,True,7,7,True,True,29.236599999421742,1.0051
Q6K00364,TEST_MIXED_1K1U,2,2,2,True,True,True,True,7,7,True,True,29.862499999580905,0.8625
Q6K00365,TEST_MIXED_1K1U,2,2,2,True,True,True,True,7,7,True,True,12.122700001782505,1.077
Q6K00366,TEST_MIXED_1K1U,2,2,2,True,True,True,True,7,7,True,True,32.57600000142702,0.8634
Q6K00367,TEST_MIXED_1K1U,2,2,2,True,True,True,True,7,7,True,True,11.334099999658065,0.8629
Q6K00368,TEST_MIXED_1K1U,2,2,2,True,True,True,True,7,7,True,True,11.20920000175829,1.0197
Q6K00369,TEST_MIXED_1K1U,2,3,3,True,True,True,True,7,7,True,True,11.613000002398621,1.2484
Q6K00370,TEST_MIXED_1K1U,2,2,2,True,True,True,True,7,7,True,True,11.589099998673191,0.9031
Q6K00371,TEST_MIXED_1K1U,2,1,1,True,True,True,True,7,7,True,True,11.532799999258714,0.8334
Q6K00372,TEST_MIXED_1K1U,2,3,3,True,True,True,True,7,7,True,True,11.47310000305879,0.8739
Q6K00373,TEST_MIXED_1K1U,2,2,2,True,True,True,True,7,7,True,True,35.91640000013285,1.0634
Q6K00374,TEST_MIXED_1K1U,2,2,2,True,True,True,True,7,7,True,True,12.243299999681767,0.8991
Q6K00375,TEST_MIXED_1K1U,2,3,3,True,True,True,True,7,7,True,True,12.267599999177037,1.0125
Q6K00376,TEST_MIXED_1K1U,2,2,2,True,True,True,True,7,7,True,True,11.351699999067932,0.9408
Q6K00377,TEST_MIXED_1K1U,2,3,3,True,True,True,True,7,7,True,True,11.142900002596434,0.9616
Q6K00378,TEST_MIXED_1K1U,2,3,3,True,True,True,True,7,7,True,True,11.647400002402719,1.0424
Q6K00379,TEST_MIXED_1K1U,2,3,3,True,True,True,True,7,7,True,True,30.254000001150416,0.9178
Q6K00380,TEST_MIXED_1K1U,2,2,2,True,True,True,True,7,7,True,True,11.5165999995952,0.9483
Q6K00381,TEST_MIXED_1K1U,2,3,3,True,True,True,True,7,7,True,True,11.852400002680952,0.9065
Q6K00382,TEST_MIXED_1K1U,2,2,2,True,True,True,True,7,7,True,True,21.275099999911617,0.8799
Q6K00383,TEST_MIXED_1K1U,2,2,2,True,True,True,True,7,7,True,True,11.946700000407873,0.8951
Q6K00384,TEST_MIXED_1K1U,2,2,2,True,True,True,True,7,7,True,True,11.654000001726672,0.8414
Q6K00385,TEST_MIXED_1K1U,2,2,2,True,True,True,True,7,7,True,True,11.48280000052182,0.8971
Q6K00386,TEST_MIXED_1K1U,2,3,3,True,True,True,True,7,7,True,True,11.021600003005005,0.8972
Q6K00387,TEST_MIXED_1K1U,2,2,2,True,True,True,True,7,7,True,True,11.461599999165628,0.9133
Q6K00388,TEST_MIXED_1K1U,2,3,3,True,True,True,True,7,7,True,True,11.053400001401315,0.9575
Q6K00389,TEST_MIXED_1K1U,2,2,2,True,True,True,True,7,7,True,True,35.811899997497676,0.8774
Q6K00390,TEST_MIXED_1K1U,2,3,3,True,True,True,True,7,7,True,True,11.711600000126055,1.0111
Q6K00391,TEST_MIXED_1K1U,2,2,2,True,True,True,True,7,7,True,True,34.5722999991267,0.9701
Q6K00392,TEST_MIXED_1K1U,2,2,2,True,True,True,True,7,7,True,True,28.366700000333367,0.8614
Q6K00393,TEST_MIXED_1K1U,2,1,1,True,True,True,True,7,7,True,True,31.88919999956852,0.8257
Q6K00394,TEST_MIXED_1K1U,2,3,3,True,True,True,True,7,7,True,True,30.68600000187871,1.1362
Q6K00395,TEST_MIXED_1K1U,2,2,2,True,True,True,True,7,7,True,True,11.488299998745788,0.9283
Q6K00396,TEST_MIXED_1K1U,2,2,2,True,True,True,True,7,7,True,True,32.61960000236286,0.9308
Q6K00397,TEST_MIXED_1K1U,2,2,2,True,True,True,True,7,7,True,True,30.759699999180157,0.8743
Q6K00398,TEST_MIXED_1K1U,2,2,2,True,True,True,True,7,7,True,True,11.425499997130828,1.0316
Q6K00399,TEST_MIXED_1K1U,2,2,2,True,True,True,True,7,7,True,True,33.43709999899147,0.9008
Q6K00400,TEST_MIXED_1K1U,2,3,3,True,True,True,True,7,7,True,True,12.164799998572562,1.1011
Q6K00401,TEST_MIXED_1K1U,2,3,3,True,True,True,True,7,7,True,True,11.344400001689792,0.9646
Q6K00402,TEST_MIXED_1K1U,2,2,2,True,True,True,True,7,7,True,True,37.74569999950472,0.8843
Q6K00403,TEST_MIXED_1K1U,2,2,2,True,True,True,True,7,7,True,True,30.951500000810483,0.9698
Q6K00404,TEST_MIXED_1K1U,2,2,2,True,True,True,True,7,7,True,True,28.920799999468727,0.8525
Q6K00405,TEST_MIXED_1K1U,2,2,2,True,True,True,True,7,7,True,True,10.924100002739578,0.9287
Q6K00406,TEST_MIXED_1K1U,2,2,2,True,True,True,True,7,7,True,True,11.12719999946421,0.9337
Q6K00407,TEST_MIXED_1K1U,2,2,2,True,True,True,True,7,7,True,True,22.112700000434415,0.875
Q6K00408,TEST_MIXED_1K1U,2,2,2,True,True,True,True,7,7,True,True,42.46409999905154,0.8751
Q6K00409,TEST_MIXED_1K1U,2,2,2,True,True,True,True,7,7,True,True,33.72680000029504,0.9165
Q6K00410,TEST_MIXED_1K1U,2,2,2,True,True,True,True,7,7,True,True,29.69690000099945,0.8954
Q6K00411,TEST_MIXED_1K1U,2,2,2,True,True,True,True,7,7,True,True,11.584100000618491,1.0415
Q6K00412,TEST_MIXED_1K1U,2,2,2,True,True,True,True,7,7,True,True,34.890099999756785,0.8871
Q6K00413,TEST_MIXED_1K1U,2,2,2,True,True,True,True,7,7,True,True,11.541500000021188,0.8579
Q6K00414,TEST_MIXED_1K1U,2,2,2,True,True,True,True,7,7,True,True,11.518600000272272,0.8913
Q6K00415,TEST_MIXED_1K1U,2,2,2,True,True,True,True,7,7,True,True,11.620000001130393,1.0053
Q6K00416,TEST_MIXED_1K1U,2,2,2,True,True,True,True,7,7,True,True,23.731900000711903,0.9669
Q6K00417,TEST_MIXED_1K1U,2,2,2,True,True,True,True,7,7,True,True,11.058100000809645,0.878
Q6K00418,TEST_MIXED_1K1U,2,2,2,True,True,True,True,7,7,True,True,11.330600002111169,0.9278
Q6K00419,TEST_MIXED_1K1U,2,3,3,True,True,True,True,7,7,True,True,11.686699999700068,0.8898
Q6K00420,TEST_MIXED_1K1U,2,2,2,True,True,True,True,7,7,True,True,11.492199999338482,0.9707
Q6K00421,TEST_MIXED_2K1U,3,3,3,True,True,True,True,7,7,True,True,11.813400000391994,0.9474
Q6K00422,TEST_MIXED_2K1U,3,2,2,True,True,True,True,7,7,True,True,11.217600000236416,0.8653
Q6K00423,TEST_MIXED_2K1U,3,3,3,True,True,True,True,7,7,True,True,11.540200001036283,1.2763
Q6K00424,TEST_MIXED_2K1U,3,2,2,True,True,True,True,7,7,True,True,11.214599999220809,0.9188
Q6K00425,TEST_MIXED_2K1U,3,3,3,True,True,True,True,7,7,True,True,28.77280000029714,0.8727
Q6K00426,TEST_MIXED_2K1U,3,3,3,True,True,True,True,7,7,True,True,11.256800000410294,0.9184
Q6K00427,TEST_MIXED_2K1U,3,3,3,True,True,True,True,7,7,True,True,11.40799999848241,0.953
Q6K00428,TEST_MIXED_2K1U,3,3,3,True,True,True,True,7,7,True,True,22.712000001774868,0.8753
Q6K00429,TEST_MIXED_2K1U,3,3,3,True,True,True,True,7,7,True,True,11.426799999753712,0.9022
Q6K00430,TEST_MIXED_2K1U,3,3,3,True,True,True,True,7,7,True,True,33.980000000156,0.877
