query_id,node_id,modality,original_source_parent,pseudo_ground_truth_label,is_pseudo_unknown
Q6K00012,Q6K00012_N05,STRUCTURED,FMOD0045,UNKNOWN,True
Q6K00012,Q6K00012_N06,CODE_BINARY,FMOD0045,UNKNOWN,True
Q6K00012,Q6K00012_N07,IMAGE,FMOD0045,UNKNOWN,True
Q6K00013,Q6K00013_N01,CODE_BINARY,FMOD0097,UNKNOWN,True
Q6K00013,Q6K00013_N02,CODE_BINARY,FMOD0097,UNKNOWN,True
Q6K00013,Q6K00013_N03,STRUCTURED,FMOD0097,UNKNOWN,True
Q6K00013,Q6K00013_N04,CODE_BINARY,FMOD0097,UNKNOWN,True
Q6K00013,Q6K00013_N05,CODE_BINARY,FMOD0097,UNKNOWN,True
Q6K00013,Q6K00013_N06,IMAGE,FMOD0097,UNKNOWN,True
Q6K00013,Q6K00013_N07,CODE_BINARY,FMOD0097,UNKNOWN,True
Q6K00014,Q6K00014_N01,STRUCTURED,FMOD0081,UNKNOWN,True
Q6K00014,Q6K00014_N02,IMAGE,FMOD0081,UNKNOWN,True
Q6K00014,Q6K00014_N03,CODE_BINARY,FMOD0081,UNKNOWN,True
Q6K00014,Q6K00014_N04,CODE_BINARY,FMOD0081,UNKNOWN,True
Q6K00014,Q6K00014_N05,CODE_BINARY,FMOD0081,UNKNOWN,True
Q6K00014,Q6K00014_N06,CODE_BINARY,FMOD0081,UNKNOWN,True
Q6K00014,Q6K00014_N07,CODE_BINARY,FMOD0081,UNKNOWN,True
Q6K00015,Q6K00015_N01,CODE_BINARY,FMOD0039,UNKNOWN,True
Q6K00015,Q6K00015_N02,STRUCTURED,FMOD0039,UNKNOWN,True
Q6K00015,Q6K00015_N03,CODE_BINARY,FMOD0039,UNKNOWN,True
Q6K00015,Q6K00015_N04,IMAGE,FMOD0039,UNKNOWN,True
Q6K00015,Q6K00015_N05,CODE_BINARY,FMOD0039,UNKNOWN,True
Q6K00015,Q6K00015_N06,CODE_BINARY,FMOD0039,UNKNOWN,True
Q6K00015,Q6K00015_N07,CODE_BINARY,FMOD0039,UNKNOWN,True
Q6K00016,Q6K00016_N01,CODE_BINARY,FMOD0041,UNKNOWN,True
Q6K00016,Q6K00016_N02,CODE_BINARY,FMOD0041,UNKNOWN,True
Q6K00016,Q6K00016_N03,IMAGE,FMOD0041,UNKNOWN,True
Q6K00016,Q6K00016_N04,CODE_BINARY,FMOD0041,UNKNOWN,True
Q6K00016,Q6K00016_N05,CODE_BINARY,FMOD0041,UNKNOWN,True
Q6K00016,Q6K00016_N06,CODE_BINARY,FMOD0041,UNKNOWN,True
Q6K00016,Q6K00016_N07,STRUCTURED,FMOD0041,UNKNOWN,True
Q6K00017,Q6K00017_N01,CODE_BINARY,FMOD0034,UNKNOWN,True
Q6K00017,Q6K00017_N02,CODE_BINARY,FMOD0034,UNKNOWN,True
Q6K00017,Q6K00017_N03,IMAGE,FMOD0034,UNKNOWN,True
Q6K00017,Q6K00017_N04,CODE_BINARY,FMOD0034,UNKNOWN,True
Q6K00017,Q6K00017_N05,CODE_BINARY,FMOD0034,UNKNOWN,True
Q6K00017,Q6K00017_N06,STRUCTURED,FMOD0034,UNKNOWN,True
Q6K00017,Q6K00017_N07,CODE_BINARY,FMOD0034,UNKNOWN,True
Q6K00018,Q6K00018_N01,CODE_BINARY,FMOD0082,UNKNOWN,True
Q6K00018,Q6K00018_N02,CODE_BINARY,FMOD0082,UNKNOWN,True
Q6K00018,Q6K00018_N03,CODE_BINARY,FMOD0082,UNKNOWN,True
Q6K00018,Q6K00018_N04,CODE_BINARY,FMOD0082,UNKNOWN,True
Q6K00018,Q6K00018_N05,IMAGE,FMOD0082,UNKNOWN,True
Q6K00018,Q6K00018_N06,CODE_BINARY,FMOD0082,UNKNOWN,True
Q6K00018,Q6K00018_N07,STRUCTURED,FMOD0082,UNKNOWN,True
Q6K00019,Q6K00019_N01,CODE_BINARY,FMOD0030,UNKNOWN,True
Q6K00019,Q6K00019_N02,CODE_BINARY,FMOD0030,UNKNOWN,True
Q6K00019,Q6K00019_N03,CODE_BINARY,FMOD0030,UNKNOWN,True
Q6K00019,Q6K00019_N04,CODE_BINARY,FMOD0030,UNKNOWN,True
Q6K00019,Q6K00019_N05,CODE_BINARY,FMOD0030,UNKNOWN,True
Q6K00019,Q6K00019_N06,STRUCTURED,FMOD0030,UNKNOWN,True
Q6K00019,Q6K00019_N07,IMAGE,FMOD0030,UNKNOWN,True
Q6K00020,Q6K00020_N01,CODE_BINARY,FMOD0034,UNKNOWN,True
Q6K00020,Q6K00020_N02,CODE_BINARY,FMOD0034,UNKNOWN,True
Q6K00020,Q6K00020_N03,CODE_BINARY,FMOD0034,UNKNOWN,True
Q6K00020,Q6K00020_N04,CODE_BINARY,FMOD0034,UNKNOWN,True
Q6K00020,Q6K00020_N05,CODE_BINARY,FMOD0034,UNKNOWN,True
Q6K00020,Q6K00020_N06,IMAGE,FMOD0034,UNKNOWN,True
Q6K00020,Q6K00020_N07,STRUCTURED,FMOD0034,UNKNOWN,True
Q6K00021,Q6K00021_N01,CODE_BINARY,FMOD0034,UNKNOWN,True
Q6K00021,Q6K00021_N02,CODE_BINARY,FMOD0034,UNKNOWN,True
Q6K00021,Q6K00021_N03,CODE_BINARY,FMOD0034,UNKNOWN,True
Q6K00021,Q6K00021_N04,CODE_BINARY,FMOD0034,UNKNOWN,True
Q6K00021,Q6K00021_N05,IMAGE,FMOD0034,UNKNOWN,True
Q6K00021,Q6K00021_N06,CODE_BINARY,FMOD0034,UNKNOWN,True
Q6K00021,Q6K00021_N07,STRUCTURED,FMOD0034,UNKNOWN,True
Q6K00022,Q6K00022_N01,CODE_BINARY,FMOD0002,UNKNOWN,True
Q6K00022,Q6K00022_N02,CODE_BINARY,FMOD0002,UNKNOWN,True
Q6K00022,Q6K00022_N03,CODE_BINARY,FMOD0002,UNKNOWN,True
Q6K00022,Q6K00022_N04,CODE_BINARY,FMOD0002,UNKNOWN,True
Q6K00022,Q6K00022_N05,STRUCTURED,FMOD0002,UNKNOWN,True
Q6K00022,Q6K00022_N06,IMAGE,FMOD0002,UNKNOWN,True
Q6K00022,Q6K00022_N07,CODE_BINARY,FMOD0002,UNKNOWN,True
Q6K00023,Q6K00023_N01,CODE_BINARY,FMOD0072,UNKNOWN,True
Q6K00023,Q6K00023_N02,STRUCTURED,FMOD0072,UNKNOWN,True
Q6K00023,Q6K00023_N03,CODE_BINARY,FMOD0072,UNKNOWN,True
Q6K00023,Q6K00023_N04,CODE_BINARY,FMOD0072,UNKNOWN,True
Q6K00023,Q6K00023_N05,CODE_BINARY,FMOD0072,UNKNOWN,True
Q6K00023,Q6K00023_N06,CODE_BINARY,FMOD0072,UNKNOWN,True
Q6K00023,Q6K00023_N07,IMAGE,FMOD0072,UNKNOWN,True
Q6K00024,Q6K00024_N01,IMAGE,FMOD0052,UNKNOWN,True
Q6K00024,Q6K00024_N02,CODE_BINARY,FMOD0052,UNKNOWN,True
Q6K00024,Q6K00024_N03,CODE_BINARY,FMOD0052,UNKNOWN,True
Q6K00024,Q6K00024_N04,CODE_BINARY,FMOD0052,UNKNOWN,True
Q6K00024,Q6K00024_N05,STRUCTURED,FMOD0052,UNKNOWN,True
Q6K00024,Q6K00024_N06,CODE_BINARY,FMOD0052,UNKNOWN,True
Q6K00024,Q6K00024_N07,CODE_BINARY,FMOD0052,UNKNOWN,True
Q6K00025,Q6K00025_N01,CODE_BINARY,FMOD0002,UNKNOWN,True
Q6K00025,Q6K00025_N02,IMAGE,FMOD0002,UNKNOWN,True
Q6K00025,Q6K00025_N03,CODE_BINARY,FMOD0002,UNKNOWN,True
Q6K00025,Q6K00025_N04,CODE_BINARY,FMOD0002,UNKNOWN,True
Q6K00025,Q6K00025_N05,CODE_BINARY,FMOD0002,UNKNOWN,True
Q6K00025,Q6K00025_N06,CODE_BINARY,FMOD0002,UNKNOWN,True
Q6K00025,Q6K00025_N07,STRUCTURED,FMOD0002,UNKNOWN,True
Q6K00026,Q6K00026_N01,CODE_BINARY,FMOD0056,UNKNOWN,True
Q6K00026,Q6K00026_N02,CODE_BINARY,FMOD0056,UNKNOWN,True
Q6K00026,Q6K00026_N03,IMAGE,FMOD0056,UNKNOWN,True
Q6K00026,Q6K00026_N04,CODE_BINARY,FMOD0056,UNKNOWN,True
Q6K00026,Q6K00026_N05,CODE_BINARY,FMOD0056,UNKNOWN,True
Q6K00026,Q6K00026_N06,CODE_BINARY,FMOD0056,UNKNOWN,True
Q6K00026,Q6K00026_N07,STRUCTURED,FMOD0056,UNKNOWN,True
Q6K00027,Q6K00027_N01,CODE_BINARY,FMOD0063,UNKNOWN,True
Q6K00027,Q6K00027_N02,CODE_BINARY,FMOD0063,UNKNOWN,True
Q6K00027,Q6K00027_N03,STRUCTURED,FMOD0063,UNKNOWN,True
Q6K00027,Q6K00027_N04,CODE_BINARY,FMOD0063,UNKNOWN,True
Q6K00027,Q6K00027_N05,CODE_BINARY,FMOD0063,UNKNOWN,True
Q6K00027,Q6K00027_N06,IMAGE,FMOD0063,UNKNOWN,True
Q6K00027,Q6K00027_N07,CODE_BINARY,FMOD0063,UNKNOWN,True
Q6K00028,Q6K00028_N01,CODE_BINARY,FMOD0072,UNKNOWN,True
Q6K00028,Q6K00028_N02,CODE_BINARY,FMOD0072,UNKNOWN,True
Q6K00028,Q6K00028_N03,CODE_BINARY,FMOD0072,UNKNOWN,True
Q6K00028,Q6K00028_N04,CODE_BINARY,FMOD0072,UNKNOWN,True
Q6K00028,Q6K00028_N05,STRUCTURED,FMOD0072,UNKNOWN,True
Q6K00028,Q6K00028_N06,IMAGE,FMOD0072,UNKNOWN,True
Q6K00028,Q6K00028_N07,CODE_BINARY,FMOD0072,UNKNOWN,True
Q6K00029,Q6K00029_N01,CODE_BINARY,FMOD0057,UNKNOWN,True
Q6K00029,Q6K00029_N02,CODE_BINARY,FMOD0057,UNKNOWN,True
Q6K00029,Q6K00029_N03,IMAGE,FMOD0057,UNKNOWN,True
Q6K00029,Q6K00029_N04,STRUCTURED,FMOD0057,UNKNOWN,True
Q6K00029,Q6K00029_N05,CODE_BINARY,FMOD0057,UNKNOWN,True
Q6K00029,Q6K00029_N06,CODE_BINARY,FMOD0057,UNKNOWN,True
Q6K00029,Q6K00029_N07,CODE_BINARY,FMOD0057,UNKNOWN,True
Q6K00030,Q6K00030_N01,CODE_BINARY,FMOD0034,UNKNOWN,True
Q6K00030,Q6K00030_N02,CODE_BINARY,FMOD0034,UNKNOWN,True
Q6K00030,Q6K00030_N03,CODE_BINARY,FMOD0034,UNKNOWN,True
Q6K00030,Q6K00030_N04,CODE_BINARY,FMOD0034,UNKNOWN,True
Q6K00030,Q6K00030_N05,IMAGE,FMOD0034,UNKNOWN,True
Q6K00030,Q6K00030_N06,CODE_BINARY,FMOD0034,UNKNOWN,True
Q6K00030,Q6K00030_N07,STRUCTURED,FMOD0034,UNKNOWN,True
Q6K00031,Q6K00031_N01,CODE_BINARY,FMOD0097,UNKNOWN,True
Q6K00031,Q6K00031_N02,CODE_BINARY,FMOD0097,UNKNOWN,True
Q6K00031,Q6K00031_N03,STRUCTURED,FMOD0097,UNKNOWN,True
Q6K00031,Q6K00031_N04,CODE_BINARY,FMOD0097,UNKNOWN,True
Q6K00031,Q6K00031_N05,CODE_BINARY,FMOD0097,UNKNOWN,True
Q6K00031,Q6K00031_N06,CODE_BINARY,FMOD0097,UNKNOWN,True
Q6K00031,Q6K00031_N07,IMAGE,FMOD0097,UNKNOWN,True
Q6K00032,Q6K00032_N01,CODE_BINARY,FMOD0059,UNKNOWN,True
Q6K00032,Q6K00032_N02,CODE_BINARY,FMOD0059,UNKNOWN,True
Q6K00032,Q6K00032_N03,CODE_BINARY,FMOD0059,UNKNOWN,True
Q6K00032,Q6K00032_N04,CODE_BINARY,FMOD0059,UNKNOWN,True
Q6K00032,Q6K00032_N05,CODE_BINARY,FMOD0059,UNKNOWN,True
Q6K00032,Q6K00032_N06,IMAGE,FMOD0059,UNKNOWN,True
Q6K00032,Q6K00032_N07,STRUCTURED,FMOD0059,UNKNOWN,True
Q6K00033,Q6K00033_N01,CODE_BINARY,FMOD0101,UNKNOWN,True
Q6K00033,Q6K00033_N02,CODE_BINARY,FMOD0101,UNKNOWN,True
Q6K00033,Q6K00033_N03,STRUCTURED,FMOD0101,UNKNOWN,True
Q6K00033,Q6K00033_N04,CODE_BINARY,FMOD0101,UNKNOWN,True
Q6K00033,Q6K00033_N05,IMAGE,FMOD0101,UNKNOWN,True
Q6K00033,Q6K00033_N06,CODE_BINARY,FMOD0101,UNKNOWN,True
Q6K00033,Q6K00033_N07,CODE_BINARY,FMOD0101,UNKNOWN,True
Q6K00034,Q6K00034_N01,IMAGE,FMOD0056,UNKNOWN,True
Q6K00034,Q6K00034_N02,CODE_BINARY,FMOD0056,UNKNOWN,True
Q6K00034,Q6K00034_N03,CODE_BINARY,FMOD0056,UNKNOWN,True
Q6K00034,Q6K00034_N04,CODE_BINARY,FMOD0056,UNKNOWN,True
Q6K00034,Q6K00034_N05,CODE_BINARY,FMOD0056,UNKNOWN,True
Q6K00034,Q6K00034_N06,STRUCTURED,FMOD0056,UNKNOWN,True
Q6K00034,Q6K00034_N07,CODE_BINARY,FMOD0056,UNKNOWN,True
Q6K00035,Q6K00035_N01,CODE_BINARY,FMOD0020,UNKNOWN,True
Q6K00035,Q6K00035_N02,CODE_BINARY,FMOD0020,UNKNOWN,True
Q6K00035,Q6K00035_N03,IMAGE,FMOD0020,UNKNOWN,True
Q6K00035,Q6K00035_N04,CODE_BINARY,FMOD0020,UNKNOWN,True
Q6K00035,Q6K00035_N05,STRUCTURED,FMOD0020,UNKNOWN,True
Q6K00035,Q6K00035_N06,CODE_BINARY,FMOD0020,UNKNOWN,True
Q6K00035,Q6K00035_N07,CODE_BINARY,FMOD0020,UNKNOWN,True
Q6K00036,Q6K00036_N01,CODE_BINARY,FMOD0030,UNKNOWN,True
Q6K00036,Q6K00036_N02,STRUCTURED,FMOD0030,UNKNOWN,True
Q6K00036,Q6K00036_N03,CODE_BINARY,FMOD0030,UNKNOWN,True
Q6K00036,Q6K00036_N04,CODE_BINARY,FMOD0030,UNKNOWN,True
Q6K00036,Q6K00036_N05,CODE_BINARY,FMOD0030,UNKNOWN,True
Q6K00036,Q6K00036_N06,IMAGE,FMOD0030,UNKNOWN,True
Q6K00036,Q6K00036_N07,CODE_BINARY,FMOD0030,UNKNOWN,True
Q6K00037,Q6K00037_N01,CODE_BINARY,FMOD0101,UNKNOWN,True
Q6K00037,Q6K00037_N02,STRUCTURED,FMOD0101,UNKNOWN,True
Q6K00037,Q6K00037_N03,CODE_BINARY,FMOD0101,UNKNOWN,True
Q6K00037,Q6K00037_N04,IMAGE,FMOD0101,UNKNOWN,True
Q6K00037,Q6K00037_N05,CODE_BINARY,FMOD0101,UNKNOWN,True
Q6K00037,Q6K00037_N06,CODE_BINARY,FMOD0101,UNKNOWN,True
Q6K00037,Q6K00037_N07,CODE_BINARY,FMOD0101,UNKNOWN,True
Q6K00038,Q6K00038_N01,CODE_BINARY,FMOD0059,UNKNOWN,True
Q6K00038,Q6K00038_N02,CODE_BINARY,FMOD0059,UNKNOWN,True
Q6K00038,Q6K00038_N03,IMAGE,FMOD0059,UNKNOWN,True
Q6K00038,Q6K00038_N04,CODE_BINARY,FMOD0059,UNKNOWN,True
Q6K00038,Q6K00038_N05,CODE_BINARY,FMOD0059,UNKNOWN,True
Q6K00038,Q6K00038_N06,CODE_BINARY,FMOD0059,UNKNOWN,True
Q6K00038,Q6K00038_N07,STRUCTURED,FMOD0059,UNKNOWN,True
Q6K00039,Q6K00039_N01,CODE_BINARY,FMOD0065,UNKNOWN,True
Q6K00039,Q6K00039_N02,IMAGE,FMOD0065,UNKNOWN,True
Q6K00039,Q6K00039_N03,CODE_BINARY,FMOD0065,UNKNOWN,True
Q6K00039,Q6K00039_N04,CODE_BINARY,FMOD0065,UNKNOWN,True
Q6K00039,Q6K00039_N05,CODE_BINARY,FMOD0065,UNKNOWN,True
Q6K00039,Q6K00039_N06,CODE_BINARY,FMOD0065,UNKNOWN,True
Q6K00039,Q6K00039_N07,STRUCTURED,FMOD0065,UNKNOWN,True
Q6K00040,Q6K00040_N01,CODE_BINARY,FMOD0065,UNKNOWN,True
Q6K00040,Q6K00040_N02,CODE_BINARY,FMOD0065,UNKNOWN,True
Q6K00040,Q6K00040_N03,CODE_BINARY,FMOD0065,UNKNOWN,True
Q6K00040,Q6K00040_N04,STRUCTURED,FMOD0065,UNKNOWN,True
Q6K00040,Q6K00040_N05,CODE_BINARY,FMOD0065,UNKNOWN,True
Q6K00040,Q6K00040_N06,IMAGE,FMOD0065,UNKNOWN,True
Q6K00040,Q6K00040_N07,CODE_BINARY,FMOD0065,UNKNOWN,True
Q6K00041,Q6K00041_N01,CODE_BINARY,FMOD0030,UNKNOWN,True
Q6K00041,Q6K00041_N02,CODE_BINARY,FMOD0030,UNKNOWN,True
Q6K00041,Q6K00041_N03,CODE_BINARY,FMOD0030,UNKNOWN,True
Q6K00041,Q6K00041_N04,CODE_BINARY,FMOD0030,UNKNOWN,True
Q6K00041,Q6K00041_N05,STRUCTURED,FMOD0030,UNKNOWN,True
Q6K00041,Q6K00041_N06,IMAGE,FMOD0030,UNKNOWN,True
Q6K00041,Q6K00041_N07,CODE_BINARY,FMOD0030,UNKNOWN,True
Q6K00042,Q6K00042_N01,STRUCTURED,FMOD0045,UNKNOWN,True
Q6K00042,Q6K00042_N02,CODE_BINARY,FMOD0045,UNKNOWN,True
Q6K00042,Q6K00042_N03,CODE_BINARY,FMOD0045,UNKNOWN,True
Q6K00042,Q6K00042_N04,CODE_BINARY,FMOD0045,UNKNOWN,True
Q6K00042,Q6K00042_N05,IMAGE,FMOD0045,UNKNOWN,True
Q6K00042,Q6K00042_N06,CODE_BINARY,FMOD0045,UNKNOWN,True
Q6K00042,Q6K00042_N07,CODE_BINARY,FMOD0045,UNKNOWN,True
Q6K00043,Q6K00043_N01,CODE_BINARY,FMOD0065,UNKNOWN,True
Q6K00043,Q6K00043_N02,IMAGE,FMOD0065,UNKNOWN,True
Q6K00043,Q6K00043_N03,CODE_BINARY,FMOD0065,UNKNOWN,True
Q6K00043,Q6K00043_N04,CODE_BINARY,FMOD0065,UNKNOWN,True
Q6K00043,Q6K00043_N05,CODE_BINARY,FMOD0065,UNKNOWN,True
Q6K00043,Q6K00043_N06,CODE_BINARY,FMOD0065,UNKNOWN,True
Q6K00043,Q6K00043_N07,STRUCTURED,FMOD0065,UNKNOWN,True
Q6K00044,Q6K00044_N01,CODE_BINARY,FMOD0045,UNKNOWN,True
Q6K00044,Q6K00044_N02,CODE_BINARY,FMOD0045,UNKNOWN,True
Q6K00044,Q6K00044_N03,IMAGE,FMOD0045,UNKNOWN,True
Q6K00044,Q6K00044_N04,CODE_BINARY,FMOD0045,UNKNOWN,True
Q6K00044,Q6K00044_N05,CODE_BINARY,FMOD0045,UNKNOWN,True
Q6K00044,Q6K00044_N06,CODE_BINARY,FMOD0045,UNKNOWN,True
Q6K00044,Q6K00044_N07,STRUCTURED,FMOD0045,UNKNOWN,True
Q6K00045,Q6K00045_N01,CODE_BINARY,FMOD0039,UNKNOWN,True
Q6K00045,Q6K00045_N02,CODE_BINARY,FMOD0039,UNKNOWN,True
Q6K00045,Q6K00045_N03,STRUCTURED,FMOD0039,UNKNOWN,True
Q6K00045,Q6K00045_N04,CODE_BINARY,FMOD0039,UNKNOWN,True
Q6K00045,Q6K00045_N05,IMAGE,FMOD0039,UNKNOWN,True
Q6K00045,Q6K00045_N06,CODE_BINARY,FMOD0039,UNKNOWN,True
Q6K00045,Q6K00045_N07,CODE_BINARY,FMOD0039,UNKNOWN,True
Q6K00046,Q6K00046_N01,CODE_BINARY,FMOD0045,UNKNOWN,True
Q6K00046,Q6K00046_N02,CODE_BINARY,FMOD0045,UNKNOWN,True
Q6K00046,Q6K00046_N03,STRUCTURED,FMOD0045,UNKNOWN,True
Q6K00046,Q6K00046_N04,CODE_BINARY,FMOD0045,UNKNOWN,True
Q6K00046,Q6K00046_N05,CODE_BINARY,FMOD0045,UNKNOWN,True
Q6K00046,Q6K00046_N06,IMAGE,FMOD0045,UNKNOWN,True
Q6K00046,Q6K00046_N07,CODE_BINARY,FMOD0045,UNKNOWN,True
Q6K00047,Q6K00047_N01,STRUCTURED,FMOD0020,UNKNOWN,True
Q6K00047,Q6K00047_N02,CODE_BINARY,FMOD0020,UNKNOWN,True
Q6K00047,Q6K00047_N03,CODE_BINARY,FMOD0020,UNKNOWN,True
Q6K00047,Q6K00047_N04,CODE_BINARY,FMOD0020,UNKNOWN,True
Q6K00047,Q6K00047_N05,CODE_BINARY,FMOD0020,UNKNOWN,True
