query_id,parent_set_match,candidate_top10_match,selected_subset_match,k_match,component_matches,full_match,package_size_bytes
Q6K00232,True,True,True,True,7,True,36421
Q6K00233,True,True,True,True,7,True,95838
Q6K00234,True,True,True,True,7,True,16670
Q6K00235,True,True,True,True,7,True,63577
Q6K00236,True,True,True,True,7,True,102539
Q6K00237,True,True,True,True,7,True,105395
Q6K00238,True,True,True,True,7,True,35389
Q6K00239,True,True,True,True,7,True,90649
Q6K00240,True,True,True,True,7,True,8917
Q6K00241,True,True,True,True,7,True,36891
Q6K00242,True,True,True,True,7,True,20518
Q6K00243,True,True,True,True,7,True,74070
Q6K00244,True,True,True,True,7,True,24132
Q6K00245,True,True,True,True,7,True,52119
Q6K00246,True,True,True,True,7,True,40723
Q6K00247,True,True,True,True,7,True,34868
Q6K00248,True,True,True,True,7,True,19345
Q6K00249,True,True,True,True,7,True,24211
Q6K00250,True,True,True,True,7,True,65228
Q6K00251,True,True,True,True,7,True,89512
Q6K00252,True,True,True,True,7,True,59777
Q6K00253,True,True,True,True,7,True,28093
Q6K00254,True,True,True,True,7,True,49280
Q6K00255,True,True,True,True,7,True,47338
Q6K00256,True,True,True,True,7,True,35388
Q6K00257,True,True,True,True,7,True,64428
Q6K00258,True,True,True,True,7,True,40940
Q6K00259,True,True,True,True,7,True,46752
Q6K00260,True,True,True,True,7,True,23467
Q6K00261,True,True,True,True,7,True,36162
Q6K00262,True,True,True,True,7,True,38865
Q6K00263,True,True,True,True,7,True,56391
Q6K00264,True,True,True,True,7,True,90754
Q6K00265,True,True,True,True,7,True,1921101
Q6K00266,True,True,True,True,7,True,33734
Q6K00267,True,True,True,True,7,True,31881
Q6K00268,True,True,True,True,7,True,51425
Q6K00269,True,True,True,True,7,True,57850
Q6K00270,True,True,True,True,7,True,72035
Q6K00271,True,True,True,True,7,True,67886
Q6K00272,True,True,True,True,7,True,101320
Q6K00273,True,True,True,True,7,True,35835
Q6K00274,True,True,True,True,7,True,41611
Q6K00275,True,True,True,True,7,True,47822
Q6K00276,True,True,True,True,7,True,42802
Q6K00277,True,True,True,True,7,True,119672
Q6K00278,True,True,True,True,7,True,50322
Q6K00279,True,True,True,True,7,True,29096
Q6K00280,True,True,True,True,7,True,37247
Q6K00281,True,True,True,True,7,True,68737
Q6K00282,True,True,True,True,7,True,26870
Q6K00283,True,True,True,True,7,True,33784
Q6K00284,True,True,True,True,7,True,56091
Q6K00285,True,True,True,True,7,True,54497
Q6K00286,True,True,True,True,7,True,24274
Q6K00287,True,True,True,True,7,True,31989
Q6K00288,True,True,True,True,7,True,56788
Q6K00289,True,True,True,True,7,True,39611
Q6K00290,True,True,True,True,7,True,34479
Q6K00291,True,True,True,True,7,True,26602
Q6K00292,True,True,True,True,7,True,37807
Q6K00293,True,True,True,True,7,True,56279
Q6K00294,True,True,True,True,7,True,55243
Q6K00295,True,True,True,True,7,True,45550
Q6K00296,True,True,True,True,7,True,23191
Q6K00297,True,True,True,True,7,True,56983
Q6K00298,True,True,True,True,7,True,32077
Q6K00299,True,True,True,True,7,True,23638
Q6K00300,True,True,True,True,7,True,43289
Q6K00301,True,True,True,True,7,True,44411
Q6K00302,True,True,True,True,7,True,15337
Q6K00303,True,True,True,True,7,True,54747
Q6K00304,True,True,True,True,7,True,49489
Q6K00305,True,True,True,True,7,True,76353
Q6K00306,True,True,True,True,7,True,40200
Q6K00307,True,True,True,True,7,True,67392
Q6K00308,True,True,True,True,7,True,56780
Q6K00309,True,True,True,True,7,True,27013
Q6K00310,True,True,True,True,7,True,25217
Q6K00311,True,True,True,True,7,True,86927
Q6K00312,True,True,True,True,7,True,43106
Q6K00313,True,True,True,True,7,True,64632
Q6K00314,True,True,True,True,7,True,24077
Q6K00315,True,True,True,True,7,True,36650
Q6K00316,True,True,True,True,7,True,30609
Q6K00317,True,True,True,True,7,True,61279
Q6K00318,True,True,True,True,7,True,23216
Q6K00319,True,True,True,True,7,True,38829
Q6K00320,True,True,True,True,7,True,30898
Q6K00321,True,True,True,True,7,True,46013
Q6K00322,True,True,True,True,7,True,25324
Q6K00323,True,True,True,True,7,True,47659
Q6K00324,True,True,True,True,7,True,65729
Q6K00325,True,True,True,True,7,True,57587
Q6K00326,True,True,True,True,7,True,35432
Q6K00327,True,True,True,True,7,True,21016
Q6K00328,True,True,True,True,7,True,41746
Q6K00329,True,True,True,True,7,True,46127
Q6K00330,True,True,True,True,7,True,30747
Q6K00331,True,True,True,True,7,True,25268
Q6K00332,True,True,True,True,7,True,48434
Q6K00333,True,True,True,True,7,True,36066
Q6K00334,True,True,True,True,7,True,72347
Q6K00335,True,True,True,True,7,True,41277
Q6K00336,True,True,True,True,7,True,19413
Q6K00337,True,True,True,True,7,True,70539
Q6K00338,True,True,True,True,7,True,64950
Q6K00339,True,True,True,True,7,True,35358
Q6K00340,True,True,True,True,7,True,66674
Q6K00341,True,True,True,True,7,True,95092
Q6K00342,True,True,True,True,7,True,57447
Q6K00343,True,True,True,True,7,True,32523
Q6K00344,True,True,True,True,7,True,84345
Q6K00345,True,True,True,True,7,True,35463
Q6K00346,True,True,True,True,7,True,54592
Q6K00347,True,True,True,True,7,True,38528
Q6K00348,True,True,True,True,7,True,30441
Q6K00349,True,True,True,True,7,True,27784
Q6K00350,True,True,True,True,7,True,40906
Q6K00351,True,True,True,True,7,True,43357
Q6K00352,True,True,True,True,7,True,60952
Q6K00353,True,True,True,True,7,True,28872
Q6K00354,True,True,True,True,7,True,33063
Q6K00355,True,True,True,True,7,True,18761
Q6K00356,True,True,True,True,7,True,54894
Q6K00357,True,True,True,True,7,True,29758
Q6K00358,True,True,True,True,7,True,26357
Q6K00359,True,True,True,True,7,True,53612
Q6K00360,True,True,True,True,7,True,46174
Q6K00361,True,True,True,True,7,True,67230
Q6K00362,True,True,True,True,7,True,30293
Q6K00363,True,True,True,True,7,True,53888
Q6K00364,True,True,True,True,7,True,55702
Q6K00365,True,True,True,True,7,True,27298
Q6K00366,True,True,True,True,7,True,18223
Q6K00367,True,True,True,True,7,True,20314
Q6K00368,True,True,True,True,7,True,59605
Q6K00369,True,True,True,True,7,True,21253
Q6K00370,True,True,True,True,7,True,50539
Q6K00371,True,True,True,True,7,True,24411
Q6K00372,True,True,True,True,7,True,32137
Q6K00373,True,True,True,True,7,True,87592
Q6K00374,True,True,True,True,7,True,20007
Q6K00375,True,True,True,True,7,True,32360
Q6K00376,True,True,True,True,7,True,31449
Q6K00377,True,True,True,True,7,True,65599
Q6K00378,True,True,True,True,7,True,47057
Q6K00379,True,True,True,True,7,True,45466
Q6K00380,True,True,True,True,7,True,45223
Q6K00381,True,True,True,True,7,True,38095
Q6K00382,True,True,True,True,7,True,27991
Q6K00383,True,True,True,True,7,True,28969
Q6K00384,True,True,True,True,7,True,59237
Q6K00385,True,True,True,True,7,True,45378
Q6K00386,True,True,True,True,7,True,56364
Q6K00387,True,True,True,True,7,True,926534
Q6K00388,True,True,True,True,7,True,19786
Q6K00389,True,True,True,True,7,True,106125
Q6K00390,True,True,True,True,7,True,61103
Q6K00391,True,True,True,True,7,True,65843
Q6K00392,True,True,True,True,7,True,42927
Q6K00393,True,True,True,True,7,True,88309
Q6K00394,True,True,True,True,7,True,22912
Q6K00395,True,True,True,True,7,True,44758
Q6K00396,True,True,True,True,7,True,28738
Q6K00397,True,True,True,True,7,True,62709
Q6K00398,True,True,True,True,7,True,51803
Q6K00399,True,True,True,True,7,True,47120
Q6K00400,True,True,True,True,7,True,42084
Q6K00401,True,True,True,True,7,True,55005
Q6K00402,True,True,True,True,7,True,50920
Q6K00403,True,True,True,True,7,True,89129
Q6K00404,True,True,True,True,7,True,54328
Q6K00405,True,True,True,True,7,True,17704
Q6K00406,True,True,True,True,7,True,25959
Q6K00407,True,True,True,True,7,True,49299
Q6K00408,True,True,True,True,7,True,30439
Q6K00409,True,True,True,True,7,True,42904
Q6K00410,True,True,True,True,7,True,30528
Q6K00411,True,True,True,True,7,True,10109
Q6K00412,True,True,True,True,7,True,96855
Q6K00413,True,True,True,True,7,True,16485
Q6K00414,True,True,True,True,7,True,942567
Q6K00415,True,True,True,True,7,True,64409
Q6K00416,True,True,True,True,7,True,19378
Q6K00417,True,True,True,True,7,True,16209
Q6K00418,True,True,True,True,7,True,60937
Q6K00419,True,True,True,True,7,True,47344
Q6K00420,True,True,True,True,7,True,26893
Q6K00421,True,True,True,True,7,True,100453
Q6K00422,True,True,True,True,7,True,25891
Q6K00423,True,True,True,True,7,True,41506
Q6K00424,True,True,True,True,7,True,58783
Q6K00425,True,True,True,True,7,True,28646
Q6K00426,True,True,True,True,7,True,124371
Q6K00427,True,True,True,True,7,True,19456
Q6K00428,True,True,True,True,7,True,57432
Q6K00429,True,True,True,True,7,True,103452
Q6K00430,True,True,True,True,7,True,37452
Q6K00431,True,True,True,True,7,True,52653
Q6K00432,True,True,True,True,7,True,80174
Q6K00433,True,True,True,True,7,True,13193
Q6K00434,True,True,True,True,7,True,35451
Q6K00435,True,True,True,True,7,True,32932
Q6K00436,True,True,True,True,7,True,65521
Q6K00437,True,True,True,True,7,True,18319
Q6K00438,True,True,True,True,7,True,33032
Q6K00439,True,True,True,True,7,True,32742
Q6K00440,True,True,True,True,7,True,51475
Q6K00441,True,True,True,True,7,True,976331
Q6K00442,True,True,True,True,7,True,30858
Q6K00443,True,True,True,True,7,True,88138
Q6K00444,True,True,True,True,7,True,46895
Q6K00445,True,True,True,True,7,True,26869
Q6K00446,True,True,True,True,7,True,47994
Q6K00447,True,True,True,True,7,True,31530
Q6K00448,True,True,True,True,7,True,26239
Q6K00449,True,True,True,True,7,True,47366
Q6K00450,True,True,True,True,7,True,58884
Q6K00451,True,True,True,True,7,True,1960343
Q6K00452,True,True,True,True,7,True,98714
Q6K00453,True,True,True,True,7,True,36718
Q6K00454,True,True,True,True,7,True,72603
Q6K00455,True,True,True,True,7,True,40113
Q6K00456,True,True,True,True,7,True,31903
Q6K00457,True,True,True,True,7,True,46706
Q6K00458,True,True,True,True,7,True,64945
Q6K00459,True,True,True,True,7,True,23680
Q6K00460,True,True,True,True,7,True,47929
Q6K00461,True,True,True,True,7,True,36426
Q6K00462,True,True,True,True,7,True,23771
Q6K00463,True,True,True,True,7,True,91871
Q6K00464,True,True,True,True,7,True,111411
Q6K00465,True,True,True,True,7,True,76514
Q6K00466,True,True,True,True,7,True,41195
Q6K00467,True,True,True,True,7,True,82873
Q6K00468,True,True,True,True,7,True,31197
Q6K00469,True,True,True,True,7,True,80771
Q6K00470,True,True,True,True,7,True,13939
Q6K00471,True,True,True,True,7,True,71531
Q6K00472,True,True,True,True,7,True,39374
Q6K00473,True,True,True,True,7,True,30869
Q6K00474,True,True,True,True,7,True,24074
Q6K00475,True,True,True,True,7,True,109572
Q6K00476,True,True,True,True,7,True,29241
Q6K00477,True,True,True,True,7,True,51749
Q6K00478,True,True,True,True,7,True,81084
Q6K00479,True,True,True,True,7,True,934812
Q6K00480,True,True,True,True,7,True,73191
Q6K00481,True,True,True,True,7,True,29491
Q6K00482,True,True,True,True,7,True,18577
Q6K00483,True,True,True,True,7,True,54043
Q6K00484,True,True,True,True,7,True,31400
Q6K00485,True,True,True,True,7,True,23403
Q6K00486,True,True,True,True,7,True,33762
Q6K00487,True,True,True,True,7,True,46956
Q6K00488,True,True,True,True,7,True,18958
Q6K00489,True,True,True,True,7,True,924976
Q6K00490,True,True,True,True,7,True,21391
Q6K00491,True,True,True,True,7,True,222368
Q6K00492,True,True,True,True,7,True,29507
Q6K00493,True,True,True,True,7,True,931850
Q6K00494,True,True,True,True,7,True,93336
Q6K00495,True,True,True,True,7,True,14006
Q6K00496,True,True,True,True,7,True,25061
Q6K00497,True,True,True,True,7,True,22025
Q6K00498,True,True,True,True,7,True,45256
Q6K00499,True,True,True,True,7,True,50487
Q6K00500,True,True,True,True,7,True,34411
Q6K00501,True,True,True,True,7,True,193163
Q6K00502,True,True,True,True,7,True,51175
Q6K00503,True,True,True,True,7,True,29184
Q6K00504,True,True,True,True,7,True,108024
Q6K00505,True,True,True,True,7,True,72180
Q6K00506,True,True,True,True,7,True,20727
Q6K00507,True,True,True,True,7,True,51703
Q6K00508,True,True,True,True,7,True,33297
Q6K00509,True,True,True,True,7,True,28765
Q6K00510,True,True,True,True,7,True,27327
Q6K00511,True,True,True,True,7,True,49648
Q6K00512,True,True,True,True,7,True,34343
Q6K00513,True,True,True,True,7,True,20233
Q6K00514,True,True,True,True,7,True,55361
Q6K00515,True,True,True,True,7,True,931170
Q6K00516,True,True,True,True,7,True,222817
Q6K00517,True,True,True,True,7,True,67237
Q6K00518,True,True,True,True,7,True,20281
Q6K00519,True,True,True,True,7,True,19471
Q6K00520,True,True,True,True,7,True,26595
Q6K00521,True,True,True,True,7,True,193199
Q6K00522,True,True,True,True,7,True,70737
Q6K00523,True,True,True,True,7,True,56542
Q6K00524,True,True,True,True,7,True,32862
Q6K00525,True,True,True,True,7,True,193278
Q6K00526,True,True,True,True,7,True,28779
Q6K00527,True,True,True,True,7,True,83346
Q6K00528,True,True,True,True,7,True,22206
Q6K00529,True,True,True,True,7,True,216507
Q6K00530,True,True,True,True,7,True,74939
Q6K00531,True,True,True,True,7,True,72569
Q6K00532,True,True,True,True,7,True,41644
Q6K00533,True,True,True,True,7,True,924790
Q6K00534,True,True,True,True,7,True,18595
Q6K00535,True,True,True,True,7,True,63669
Q6K00536,True,True,True,True,7,True,42791
Q6K00537,True,True,True,True,7,True,44036
Q6K00538,True,True,True,True,7,True,29140
Q6K00539,True,True,True,True,7,True,63862
Q6K00540,True,True,True,True,7,True,21197
