anonymous_query_id,query_id,node_id,scenario,gt,nicad_pred,proposed_pred,high_confidence_source_mapping
Q0006,Q6K00186,Q6K00186_N04,TEST_KNOWN_K1,FMOD0077,FMOD0077,FMOD0077,False
Q0006,Q6K00186,Q6K00186_N06,TEST_KNOWN_K1,FMOD0077,FMOD0077,FMOD0077,False
Q0006,Q6K00186,Q6K00186_N07,TEST_KNOWN_K1,FMOD0077,FMOD0077,FMOD0077,False
Q0007,Q6K00187,Q6K00187_N02,TEST_KNOWN_K1,FMOD0086,FMOD0086,FMOD0086,False
Q0007,Q6K00187,Q6K00187_N03,TEST_KNOWN_K1,FMOD0086,FMOD0086,FMOD0086,False
Q0007,Q6K00187,Q6K00187_N04,TEST_KNOWN_K1,FMOD0086,FMOD0086,FMOD0086,False
Q0007,Q6K00187,Q6K00187_N05,TEST_KNOWN_K1,FMOD0086,FMOD0086,FMOD0086,False
Q0007,Q6K00187,Q6K00187_N06,TEST_KNOWN_K1,FMOD0086,FMOD0086,FMOD0086,False
Q0009,Q6K00189,Q6K00189_N01,TEST_KNOWN_K1,FMOD0087,UNKNOWN,FMOD0087,False
Q0009,Q6K00189,Q6K00189_N02,TEST_KNOWN_K1,FMOD0087,FMOD0087,FMOD0087,False
Q0009,Q6K00189,Q6K00189_N04,TEST_KNOWN_K1,FMOD0087,UNKNOWN,FMOD0087,False
Q0009,Q6K00189,Q6K00189_N05,TEST_KNOWN_K1,FMOD0087,UNKNOWN,FMOD0087,False
Q0009,Q6K00189,Q6K00189_N07,TEST_KNOWN_K1,FMOD0087,FMOD0087,FMOD0087,False
Q0011,Q6K00191,Q6K00191_N01,TEST_KNOWN_K1,FMOD0086,FMOD0086,FMOD0086,False
Q0011,Q6K00191,Q6K00191_N03,TEST_KNOWN_K1,FMOD0086,FMOD0086,FMOD0086,False
Q0011,Q6K00191,Q6K00191_N04,TEST_KNOWN_K1,FMOD0086,FMOD0086,FMOD0086,False
Q0011,Q6K00191,Q6K00191_N05,TEST_KNOWN_K1,FMOD0086,FMOD0086,FMOD0086,False
Q0011,Q6K00191,Q6K00191_N06,TEST_KNOWN_K1,FMOD0086,FMOD0086,FMOD0086,False
Q0012,Q6K00192,Q6K00192_N01,TEST_KNOWN_K1,FMOD0086,FMOD0086,FMOD0086,False
Q0012,Q6K00192,Q6K00192_N03,TEST_KNOWN_K1,FMOD0086,FMOD0086,FMOD0086,False
Q0012,Q6K00192,Q6K00192_N04,TEST_KNOWN_K1,FMOD0086,FMOD0086,FMOD0086,False
Q0012,Q6K00192,Q6K00192_N05,TEST_KNOWN_K1,FMOD0086,FMOD0086,FMOD0086,False
Q0012,Q6K00192,Q6K00192_N07,TEST_KNOWN_K1,FMOD0086,FMOD0086,FMOD0086,False
Q0014,Q6K00194,Q6K00194_N01,TEST_KNOWN_K1,FMOD0083,FMOD0083,FMOD0083,False
Q0014,Q6K00194,Q6K00194_N02,TEST_KNOWN_K1,FMOD0083,UNKNOWN,FMOD0083,False
Q0014,Q6K00194,Q6K00194_N05,TEST_KNOWN_K1,FMOD0083,UNKNOWN,FMOD0083,False
Q0014,Q6K00194,Q6K00194_N06,TEST_KNOWN_K1,FMOD0083,FMOD0083,FMOD0083,False
Q0014,Q6K00194,Q6K00194_N07,TEST_KNOWN_K1,FMOD0083,FMOD0083,FMOD0083,False
Q0015,Q6K00195,Q6K00195_N01,TEST_KNOWN_K1,FMOD0061,UNKNOWN,FMOD0061,False
Q0015,Q6K00195,Q6K00195_N02,TEST_KNOWN_K1,FMOD0061,UNKNOWN,FMOD0061,False
Q0015,Q6K00195,Q6K00195_N04,TEST_KNOWN_K1,FMOD0061,FMOD0061,FMOD0061,False
Q0015,Q6K00195,Q6K00195_N05,TEST_KNOWN_K1,FMOD0061,UNKNOWN,FMOD0061,False
Q0015,Q6K00195,Q6K00195_N07,TEST_KNOWN_K1,FMOD0061,UNKNOWN,FMOD0061,False
Q0016,Q6K00196,Q6K00196_N01,TEST_KNOWN_K1,FMOD0050,FMOD0050,FMOD0050,True
Q0016,Q6K00196,Q6K00196_N02,TEST_KNOWN_K1,FMOD0050,UNKNOWN,FMOD0050,True
Q0016,Q6K00196,Q6K00196_N03,TEST_KNOWN_K1,FMOD0050,UNKNOWN,FMOD0050,True
Q0016,Q6K00196,Q6K00196_N04,TEST_KNOWN_K1,FMOD0050,UNKNOWN,FMOD0050,True
Q0016,Q6K00196,Q6K00196_N05,TEST_KNOWN_K1,FMOD0050,UNKNOWN,FMOD0050,True
Q0019,Q6K00199,Q6K00199_N01,TEST_KNOWN_K1,FMOD0067,FMOD0067,FMOD0067,False
Q0019,Q6K00199,Q6K00199_N02,TEST_KNOWN_K1,FMOD0067,UNKNOWN,FMOD0067,False
Q0019,Q6K00199,Q6K00199_N03,TEST_KNOWN_K1,FMOD0067,UNKNOWN,FMOD0067,False
Q0019,Q6K00199,Q6K00199_N05,TEST_KNOWN_K1,FMOD0067,UNKNOWN,UNKNOWN,False
Q0019,Q6K00199,Q6K00199_N07,TEST_KNOWN_K1,FMOD0067,UNKNOWN,UNKNOWN,False
Q0020,Q6K00200,Q6K00200_N01,TEST_KNOWN_K1,FMOD0051,UNKNOWN,UNKNOWN,False
Q0020,Q6K00200,Q6K00200_N02,TEST_KNOWN_K1,FMOD0051,FMOD0051,FMOD0051,False
Q0020,Q6K00200,Q6K00200_N04,TEST_KNOWN_K1,FMOD0051,FMOD0051,FMOD0051,False
Q0020,Q6K00200,Q6K00200_N05,TEST_KNOWN_K1,FMOD0051,UNKNOWN,FMOD0051,False
Q0020,Q6K00200,Q6K00200_N06,TEST_KNOWN_K1,FMOD0051,FMOD0051,FMOD0051,False
Q0021,Q6K00201,Q6K00201_N04,TEST_KNOWN_K1,FMOD0066,FMOD0066,FMOD0066,False
Q0021,Q6K00201,Q6K00201_N06,TEST_KNOWN_K1,FMOD0066,FMOD0066,UNKNOWN,False
Q0022,Q6K00202,Q6K00202_N01,TEST_KNOWN_K1,FMOD0087,UNKNOWN,FMOD0087,False
Q0022,Q6K00202,Q6K00202_N04,TEST_KNOWN_K1,FMOD0087,FMOD0087,FMOD0087,False
Q0022,Q6K00202,Q6K00202_N05,TEST_KNOWN_K1,FMOD0087,UNKNOWN,FMOD0087,False
Q0022,Q6K00202,Q6K00202_N06,TEST_KNOWN_K1,FMOD0087,FMOD0087,FMOD0087,False
Q0022,Q6K00202,Q6K00202_N07,TEST_KNOWN_K1,FMOD0087,UNKNOWN,FMOD0087,False
Q0023,Q6K00203,Q6K00203_N04,TEST_KNOWN_K1,FMOD0079,UNKNOWN,FMOD0079,False
Q0025,Q6K00205,Q6K00205_N01,TEST_KNOWN_K1,FMOD0051,FMOD0051,FMOD0051,False
Q0025,Q6K00205,Q6K00205_N03,TEST_KNOWN_K1,FMOD0051,UNKNOWN,FMOD0051,False
Q0025,Q6K00205,Q6K00205_N04,TEST_KNOWN_K1,FMOD0051,FMOD0051,FMOD0051,False
Q0025,Q6K00205,Q6K00205_N05,TEST_KNOWN_K1,FMOD0051,UNKNOWN,FMOD0051,False
Q0025,Q6K00205,Q6K00205_N06,TEST_KNOWN_K1,FMOD0051,UNKNOWN,FMOD0051,False
Q0026,Q6K00206,Q6K00206_N01,TEST_KNOWN_K1,FMOD0016,UNKNOWN,FMOD0016,True
Q0026,Q6K00206,Q6K00206_N02,TEST_KNOWN_K1,FMOD0016,UNKNOWN,UNKNOWN,True
Q0026,Q6K00206,Q6K00206_N03,TEST_KNOWN_K1,FMOD0016,UNKNOWN,UNKNOWN,True
Q0026,Q6K00206,Q6K00206_N06,TEST_KNOWN_K1,FMOD0016,FMOD0016,UNKNOWN,True
Q0026,Q6K00206,Q6K00206_N07,TEST_KNOWN_K1,FMOD0016,UNKNOWN,FMOD0016,True
Q0027,Q6K00207,Q6K00207_N01,TEST_KNOWN_K1,FMOD0023,UNKNOWN,FMOD0023,False
Q0027,Q6K00207,Q6K00207_N02,TEST_KNOWN_K1,FMOD0023,FMOD0023,FMOD0023,False
Q0027,Q6K00207,Q6K00207_N03,TEST_KNOWN_K1,FMOD0023,FMOD0023,FMOD0023,False
Q0027,Q6K00207,Q6K00207_N04,TEST_KNOWN_K1,FMOD0023,UNKNOWN,FMOD0023,False
Q0027,Q6K00207,Q6K00207_N06,TEST_KNOWN_K1,FMOD0023,UNKNOWN,FMOD0023,False
Q0030,Q6K00210,Q6K00210_N01,TEST_KNOWN_K1,FMOD0023,FMOD0023,FMOD0023,False
Q0030,Q6K00210,Q6K00210_N02,TEST_KNOWN_K1,FMOD0023,FMOD0023,UNKNOWN,False
Q0030,Q6K00210,Q6K00210_N05,TEST_KNOWN_K1,FMOD0023,UNKNOWN,FMOD0023,False
Q0030,Q6K00210,Q6K00210_N06,TEST_KNOWN_K1,FMOD0023,FMOD0023,UNKNOWN,False
Q0030,Q6K00210,Q6K00210_N07,TEST_KNOWN_K1,FMOD0023,FMOD0023,FMOD0023,False
Q0031,Q6K00211,Q6K00211_N01,TEST_KNOWN_K1,FMOD0053,UNKNOWN,FMOD0053,False
Q0031,Q6K00211,Q6K00211_N03,TEST_KNOWN_K1,FMOD0053,FMOD0053,FMOD0053,False
Q0031,Q6K00211,Q6K00211_N04,TEST_KNOWN_K1,FMOD0053,FMOD0053,FMOD0053,False
Q0031,Q6K00211,Q6K00211_N05,TEST_KNOWN_K1,FMOD0053,FMOD0053,FMOD0053,False
Q0031,Q6K00211,Q6K00211_N07,TEST_KNOWN_K1,FMOD0053,UNKNOWN,FMOD0053,False
Q0032,Q6K00212,Q6K00212_N02,TEST_KNOWN_K1,FMOD0060,UNKNOWN,FMOD0060,True
Q0032,Q6K00212,Q6K00212_N04,TEST_KNOWN_K1,FMOD0060,UNKNOWN,FMOD0060,True
Q0032,Q6K00212,Q6K00212_N05,TEST_KNOWN_K1,FMOD0060,FMOD0060,FMOD0060,True
Q0032,Q6K00212,Q6K00212_N06,TEST_KNOWN_K1,FMOD0060,FMOD0060,FMOD0060,True
Q0032,Q6K00212,Q6K00212_N07,TEST_KNOWN_K1,FMOD0060,FMOD0060,FMOD0060,True
Q0033,Q6K00213,Q6K00213_N01,TEST_KNOWN_K1,FMOD0087,FMOD0087,FMOD0087,False
Q0033,Q6K00213,Q6K00213_N02,TEST_KNOWN_K1,FMOD0087,UNKNOWN,FMOD0087,False
Q0033,Q6K00213,Q6K00213_N03,TEST_KNOWN_K1,FMOD0087,UNKNOWN,FMOD0087,False
Q0033,Q6K00213,Q6K00213_N04,TEST_KNOWN_K1,FMOD0087,UNKNOWN,FMOD0087,False
Q0033,Q6K00213,Q6K00213_N06,TEST_KNOWN_K1,FMOD0087,FMOD0087,FMOD0087,False
Q0036,Q6K00216,Q6K00216_N01,TEST_KNOWN_K1,FMOD0016,UNKNOWN,UNKNOWN,True
Q0036,Q6K00216,Q6K00216_N02,TEST_KNOWN_K1,FMOD0016,UNKNOWN,UNKNOWN,True
Q0036,Q6K00216,Q6K00216_N03,TEST_KNOWN_K1,FMOD0016,UNKNOWN,UNKNOWN,True
Q0036,Q6K00216,Q6K00216_N04,TEST_KNOWN_K1,FMOD0016,UNKNOWN,FMOD0016,True
Q0036,Q6K00216,Q6K00216_N06,TEST_KNOWN_K1,FMOD0016,FMOD0016,UNKNOWN,True
Q0037,Q6K00217,Q6K00217_N01,TEST_KNOWN_K1,FMOD0016,UNKNOWN,UNKNOWN,True
Q0037,Q6K00217,Q6K00217_N03,TEST_KNOWN_K1,FMOD0016,UNKNOWN,UNKNOWN,True
Q0037,Q6K00217,Q6K00217_N04,TEST_KNOWN_K1,FMOD0016,UNKNOWN,FMOD0016,True
Q0037,Q6K00217,Q6K00217_N06,TEST_KNOWN_K1,FMOD0016,UNKNOWN,UNKNOWN,True
Q0037,Q6K00217,Q6K00217_N07,TEST_KNOWN_K1,FMOD0016,FMOD0016,UNKNOWN,True
Q0038,Q6K00218,Q6K00218_N01,TEST_KNOWN_K1,FMOD0083,FMOD0083,FMOD0083,False
Q0038,Q6K00218,Q6K00218_N02,TEST_KNOWN_K1,FMOD0083,FMOD0083,FMOD0083,False
Q0038,Q6K00218,Q6K00218_N03,TEST_KNOWN_K1,FMOD0083,FMOD0083,FMOD0083,False
Q0038,Q6K00218,Q6K00218_N05,TEST_KNOWN_K1,FMOD0083,FMOD0083,UNKNOWN,False
Q0038,Q6K00218,Q6K00218_N06,TEST_KNOWN_K1,FMOD0083,UNKNOWN,UNKNOWN,False
Q0039,Q6K00219,Q6K00219_N01,TEST_KNOWN_K1,FMOD0060,UNKNOWN,UNKNOWN,True
Q0039,Q6K00219,Q6K00219_N02,TEST_KNOWN_K1,FMOD0060,FMOD0060,FMOD0060,True
Q0039,Q6K00219,Q6K00219_N04,TEST_KNOWN_K1,FMOD0060,UNKNOWN,UNKNOWN,True
Q0039,Q6K00219,Q6K00219_N06,TEST_KNOWN_K1,FMOD0060,FMOD0060,UNKNOWN,True
Q0039,Q6K00219,Q6K00219_N07,TEST_KNOWN_K1,FMOD0060,UNKNOWN,FMOD0060,True
Q0040,Q6K00220,Q6K00220_N02,TEST_KNOWN_K1,FMOD0074,FMOD0074,FMOD0074,False
Q0040,Q6K00220,Q6K00220_N03,TEST_KNOWN_K1,FMOD0074,FMOD0074,FMOD0074,False
Q0040,Q6K00220,Q6K00220_N04,TEST_KNOWN_K1,FMOD0074,FMOD0074,FMOD0074,False
Q0040,Q6K00220,Q6K00220_N05,TEST_KNOWN_K1,FMOD0074,FMOD0074,FMOD0074,False
Q0040,Q6K00220,Q6K00220_N06,TEST_KNOWN_K1,FMOD0074,FMOD0074,FMOD0074,False
Q0041,Q6K00221,Q6K00221_N01,TEST_KNOWN_K1,FMOD0023,UNKNOWN,FMOD0023,False
Q0041,Q6K00221,Q6K00221_N02,TEST_KNOWN_K1,FMOD0023,FMOD0023,FMOD0023,False
Q0041,Q6K00221,Q6K00221_N03,TEST_KNOWN_K1,FMOD0023,UNKNOWN,FMOD0023,False
Q0041,Q6K00221,Q6K00221_N04,TEST_KNOWN_K1,FMOD0023,FMOD0023,FMOD0023,False
Q0041,Q6K00221,Q6K00221_N06,TEST_KNOWN_K1,FMOD0023,UNKNOWN,FMOD0023,False
Q0042,Q6K00222,Q6K00222_N01,TEST_KNOWN_K1,FMOD0061,FMOD0061,FMOD0061,False
Q0042,Q6K00222,Q6K00222_N02,TEST_KNOWN_K1,FMOD0061,FMOD0061,FMOD0061,False
Q0042,Q6K00222,Q6K00222_N03,TEST_KNOWN_K1,FMOD0061,UNKNOWN,FMOD0061,False
Q0042,Q6K00222,Q6K00222_N04,TEST_KNOWN_K1,FMOD0061,UNKNOWN,FMOD0061,False
Q0042,Q6K00222,Q6K00222_N06,TEST_KNOWN_K1,FMOD0061,UNKNOWN,FMOD0061,False
Q0044,Q6K00224,Q6K00224_N02,TEST_KNOWN_K1,FMOD0074,UNKNOWN,UNKNOWN,False
Q0044,Q6K00224,Q6K00224_N04,TEST_KNOWN_K1,FMOD0074,FMOD0074,FMOD0074,False
Q0044,Q6K00224,Q6K00224_N05,TEST_KNOWN_K1,FMOD0074,UNKNOWN,FMOD0074,False
Q0044,Q6K00224,Q6K00224_N06,TEST_KNOWN_K1,FMOD0074,FMOD0074,FMOD0074,False
Q0044,Q6K00224,Q6K00224_N07,TEST_KNOWN_K1,FMOD0074,FMOD0074,FMOD0074,False
Q0045,Q6K00225,Q6K00225_N02,TEST_KNOWN_K1,FMOD0074,FMOD0074,FMOD0074,False
Q0045,Q6K00225,Q6K00225_N04,TEST_KNOWN_K1,FMOD0074,FMOD0074,FMOD0074,False
Q0045,Q6K00225,Q6K00225_N05,TEST_KNOWN_K1,FMOD0074,FMOD0074,FMOD0074,False
Q0045,Q6K00225,Q6K00225_N06,TEST_KNOWN_K1,FMOD0074,FMOD0074,FMOD0074,False
Q0045,Q6K00225,Q6K00225_N07,TEST_KNOWN_K1,FMOD0074,FMOD0074,FMOD0074,False
Q0046,Q6K00226,Q6K00226_N01,TEST_KNOWN_K1,FMOD0053,FMOD0053,FMOD0053,False
Q0046,Q6K00226,Q6K00226_N02,TEST_KNOWN_K1,FMOD0053,FMOD0053,UNKNOWN,False
Q0046,Q6K00226,Q6K00226_N03,TEST_KNOWN_K1,FMOD0053,UNKNOWN,UNKNOWN,False
Q0046,Q6K00226,Q6K00226_N04,TEST_KNOWN_K1,FMOD0053,UNKNOWN,FMOD0053,False
Q0046,Q6K00226,Q6K00226_N06,TEST_KNOWN_K1,FMOD0053,FMOD0053,UNKNOWN,False
Q0047,Q6K00227,Q6K00227_N01,TEST_KNOWN_K1,FMOD0096,FMOD0096,FMOD0096,False
Q0047,Q6K00227,Q6K00227_N03,TEST_KNOWN_K1,FMOD0096,FMOD0096,FMOD0096,False
Q0047,Q6K00227,Q6K00227_N04,TEST_KNOWN_K1,FMOD0096,FMOD0096,UNKNOWN,False
Q0047,Q6K00227,Q6K00227_N05,TEST_KNOWN_K1,FMOD0096,FMOD0096,FMOD0096,False
Q0047,Q6K00227,Q6K00227_N07,TEST_KNOWN_K1,FMOD0096,FMOD0096,UNKNOWN,False
Q0049,Q6K00229,Q6K00229_N01,TEST_KNOWN_K1,FMOD0086,FMOD0086,FMOD0086,False
Q0049,Q6K00229,Q6K00229_N04,TEST_KNOWN_K1,FMOD0086,FMOD0086,FMOD0086,False
Q0049,Q6K00229,Q6K00229_N05,TEST_KNOWN_K1,FMOD0086,FMOD0086,FMOD0086,False
Q0049,Q6K00229,Q6K00229_N06,TEST_KNOWN_K1,FMOD0086,FMOD0086,FMOD0086,False
Q0049,Q6K00229,Q6K00229_N07,TEST_KNOWN_K1,FMOD0086,FMOD0086,FMOD0086,False
Q0050,Q6K00230,Q6K00230_N01,TEST_KNOWN_K1,FMOD0036,UNKNOWN,FMOD0036,False
Q0050,Q6K00230,Q6K00230_N02,TEST_KNOWN_K1,FMOD0036,FMOD0036,FMOD0036,False
Q0050,Q6K00230,Q6K00230_N03,TEST_KNOWN_K1,FMOD0036,FMOD0036,FMOD0036,False
Q0050,Q6K00230,Q6K00230_N04,TEST_KNOWN_K1,FMOD0036,FMOD0036,FMOD0036,False
Q0050,Q6K00230,Q6K00230_N05,TEST_KNOWN_K1,FMOD0036,FMOD0036,FMOD0036,False
Q0052,Q6K00232,Q6K00232_N01,TEST_KNOWN_K1,FMOD0060,UNKNOWN,FMOD0060,True
Q0052,Q6K00232,Q6K00232_N02,TEST_KNOWN_K1,FMOD0060,FMOD0060,FMOD0060,True
Q0052,Q6K00232,Q6K00232_N03,TEST_KNOWN_K1,FMOD0060,FMOD0060,FMOD0060,True
Q0052,Q6K00232,Q6K00232_N04,TEST_KNOWN_K1,FMOD0060,FMOD0060,FMOD0060,True
Q0052,Q6K00232,Q6K00232_N07,TEST_KNOWN_K1,FMOD0060,UNKNOWN,FMOD0060,True
Q0055,Q6K00235,Q6K00235_N01,TEST_KNOWN_K1,FMOD0096,FMOD0096,FMOD0096,False
Q0055,Q6K00235,Q6K00235_N02,TEST_KNOWN_K1,FMOD0096,FMOD0096,UNKNOWN,False
Q0055,Q6K00235,Q6K00235_N03,TEST_KNOWN_K1,FMOD0096,FMOD0096,FMOD0096,False
Q0055,Q6K00235,Q6K00235_N04,TEST_KNOWN_K1,FMOD0096,FMOD0096,FMOD0096,False
Q0055,Q6K00235,Q6K00235_N05,TEST_KNOWN_K1,FMOD0096,FMOD0096,UNKNOWN,False
Q0056,Q6K00236,Q6K00236_N01,TEST_KNOWN_K1,FMOD0036,FMOD0036,FMOD0036,False
Q0056,Q6K00236,Q6K00236_N02,TEST_KNOWN_K1,FMOD0036,FMOD0036,FMOD0036,False
Q0056,Q6K00236,Q6K00236_N03,TEST_KNOWN_K1,FMOD0036,FMOD0036,FMOD0036,False
Q0056,Q6K00236,Q6K00236_N04,TEST_KNOWN_K1,FMOD0036,FMOD0036,FMOD0036,False
Q0056,Q6K00236,Q6K00236_N05,TEST_KNOWN_K1,FMOD0036,FMOD0036,FMOD0036,False
Q0057,Q6K00237,Q6K00237_N01,TEST_KNOWN_K1,FMOD0067,FMOD0067,FMOD0067,True
Q0057,Q6K00237,Q6K00237_N03,TEST_KNOWN_K1,FMOD0067,FMOD0067,FMOD0067,True
Q0057,Q6K00237,Q6K00237_N04,TEST_KNOWN_K1,FMOD0067,UNKNOWN,UNKNOWN,True
Q0057,Q6K00237,Q6K00237_N06,TEST_KNOWN_K1,FMOD0067,UNKNOWN,FMOD0067,True
Q0057,Q6K00237,Q6K00237_N07,TEST_KNOWN_K1,FMOD0067,FMOD0067,FMOD0067,True
Q0063,Q6K00243,Q6K00243_N02,TEST_KNOWN_K2,FMOD0067,UNKNOWN,UNKNOWN,False
Q0063,Q6K00243,Q6K00243_N05,TEST_KNOWN_K2,FMOD0067,UNKNOWN,UNKNOWN,False
Q0063,Q6K00243,Q6K00243_N06,TEST_KNOWN_K2,FMOD0067,FMOD0067,FMOD0067,False
Q0064,Q6K00244,Q6K00244_N01,TEST_KNOWN_K2,FMOD0089,FMOD0089,FMOD0089,False
Q0064,Q6K00244,Q6K00244_N03,TEST_KNOWN_K2,FMOD0089,FMOD0089,FMOD0089,False
Q0064,Q6K00244,Q6K00244_N06,TEST_KNOWN_K2,FMOD0089,UNKNOWN,FMOD0089,False
Q0064,Q6K00244,Q6K00244_N07,TEST_KNOWN_K2,FMOD0023,FMOD0023,FMOD0023,False
Q0065,Q6K00245,Q6K00245_N01,TEST_KNOWN_K2,FMOD0086,FMOD0086,FMOD0086,False
Q0065,Q6K00245,Q6K00245_N02,TEST_KNOWN_K2,FMOD0086,FMOD0086,FMOD0086,False
Q0065,Q6K00245,Q6K00245_N03,TEST_KNOWN_K2,FMOD0022,FMOD0022,FMOD0022,False
Q0065,Q6K00245,Q6K00245_N04,TEST_KNOWN_K2,FMOD0022,FMOD0022,FMOD0022,False
Q0065,Q6K00245,Q6K00245_N06,TEST_KNOWN_K2,FMOD0022,FMOD0022,FMOD0022,False
Q0066,Q6K00246,Q6K00246_N01,TEST_KNOWN_K2,FMOD0053,FMOD0053,UNKNOWN,False
Q0066,Q6K00246,Q6K00246_N02,TEST_KNOWN_K2,FMOD0053,UNKNOWN,FMOD0053,False
Q0066,Q6K00246,Q6K00246_N04,TEST_KNOWN_K2,FMOD0053,UNKNOWN,FMOD0053,False
Q0066,Q6K00246,Q6K00246_N05,TEST_KNOWN_K2,FMOD0005,UNKNOWN,FMOD0005,False
Q0066,Q6K00246,Q6K00246_N07,TEST_KNOWN_K2,FMOD0005,UNKNOWN,UNKNOWN,False
Q0067,Q6K00247,Q6K00247_N02,TEST_KNOWN_K2,FMOD0060,UNKNOWN,FMOD0060,True
Q0067,Q6K00247,Q6K00247_N03,TEST_KNOWN_K2,FMOD0060,FMOD0060,FMOD0060,True
Q0068,Q6K00248,Q6K00248_N03,TEST_KNOWN_K2,FMOD0040,UNKNOWN,FMOD0040,False
Q0068,Q6K00248,Q6K00248_N04,TEST_KNOWN_K2,FMOD0040,UNKNOWN,FMOD0040,False
Q0068,Q6K00248,Q6K00248_N05,TEST_KNOWN_K2,FMOD0040,FMOD0040,UNKNOWN,False
Q0069,Q6K00249,Q6K00249_N01,TEST_KNOWN_K2,FMOD0074,FMOD0074,FMOD0074,False
Q0069,Q6K00249,Q6K00249_N03,TEST_KNOWN_K2,FMOD0040,FMOD0040,UNKNOWN,False
Q0069,Q6K00249,Q6K00249_N04,TEST_KNOWN_K2,FMOD0040,FMOD0040,UNKNOWN,False
Q0069,Q6K00249,Q6K00249_N07,TEST_KNOWN_K2,FMOD0074,FMOD0074,FMOD0074,False
Q0070,Q6K00250,Q6K00250_N02,TEST_KNOWN_K2,FMOD0099,UNKNOWN,FMOD0099,True
Q0070,Q6K00250,Q6K00250_N03,TEST_KNOWN_K2,FMOD0099,FMOD0099,FMOD0099,True
Q0070,Q6K00250,Q6K00250_N04,TEST_KNOWN_K2,FMOD0099,FMOD0099,FMOD0099,True
Q0070,Q6K00250,Q6K00250_N06,TEST_KNOWN_K2,FMOD0096,FMOD0096,FMOD0096,False
Q0070,Q6K00250,Q6K00250_N07,TEST_KNOWN_K2,FMOD0096,FMOD0096,UNKNOWN,False
Q0071,Q6K00251,Q6K00251_N02,TEST_KNOWN_K2,FMOD0067,FMOD0067,FMOD0067,False
Q0071,Q6K00251,Q6K00251_N07,TEST_KNOWN_K2,FMOD0067,UNKNOWN,UNKNOWN,False
Q0072,Q6K00252,Q6K00252_N05,TEST_KNOWN_K2,FMOD0086,FMOD0086,FMOD0086,False
Q0072,Q6K00252,Q6K00252_N06,TEST_KNOWN_K2,FMOD0086,FMOD0086,FMOD0086,False
Q0073,Q6K00253,Q6K00253_N01,TEST_KNOWN_K2,FMOD0051,FMOD0051,FMOD0051,False
Q0073,Q6K00253,Q6K00253_N03,TEST_KNOWN_K2,FMOD0051,UNKNOWN,UNKNOWN,False
Q0073,Q6K00253,Q6K00253_N04,TEST_KNOWN_K2,FMOD0051,UNKNOWN,FMOD0051,False
Q0073,Q6K00253,Q6K00253_N05,TEST_KNOWN_K2,FMOD0016,UNKNOWN,FMOD0016,True
Q0073,Q6K00253,Q6K00253_N06,TEST_KNOWN_K2,FMOD0016,UNKNOWN,UNKNOWN,True
Q0074,Q6K00254,Q6K00254_N01,TEST_KNOWN_K2,FMOD0083,FMOD0083,FMOD0083,False
Q0074,Q6K00254,Q6K00254_N02,TEST_KNOWN_K2,FMOD0083,FMOD0083,FMOD0083,False
